mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.046781492233276364,0.02980513572692871,0.9621438959170945,0.9667175432902105,0.1,3230,"{'SVM__alpha': 0.10000000000000001, 'SVM__n_iter': 3230}",1,0.9897959183673469,0.9576423128641864,0.9725545390570022,0.9637606454504707,0.9521463757916961,0.9714926042133573,0.9551005747126436,0.96644370122631,0.9404761904761906,0.9742484526967284,0.001699199230223108,0.05841805255708175,0.01726764616306655,0.005842839119897033
0.04519057273864746,0.0005266189575195313,0.9587134406021163,0.968290458260164,0.0316227766017,3230,"{'SVM__alpha': 0.031622776601683791, 'SVM__n_iter': 3230}",4,0.9897959183673469,0.9637606454504707,0.9725545390570022,0.9663379650380994,0.9521463757916961,0.9689152846257285,0.9378591954022986,0.96644370122631,0.9404761904761906,0.9759946949602121,0.002082715936631003,8.425786795772387e-05,0.019846232865693883,0.004183004100706363
0.04606385231018066,0.0005793571472167969,0.9531817973112794,0.9695141247774209,0.01,3230,"{'SVM__alpha': 0.01, 'SVM__n_iter': 3230}",11,0.9725545390570022,0.9655311519497983,0.9725545390570022,0.9663379650380994,0.941942294159043,0.9732631107126849,0.9378591954022986,0.96644370122631,0.9404761904761906,0.9759946949602121,0.0017835075178247776,0.000150114138708017,0.015973802725669742,0.004276265881709704
0.04516205787658691,0.0006273269653320312,0.9566568039939847,0.9700269452902415,0.00316227766017,3230,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 3230}",8,0.9725545390570022,0.9655311519497983,0.989795918367347,0.9663379650380994,0.941942294159043,0.9732631107126849,0.9378591954022986,0.96644370122631,0.9404761904761906,0.9785587975243146,0.002196093918856165,0.00010758226193909119,0.02091988108125108,0.005097560990666905
0.0423614501953125,0.0005016326904296875,0.9601318106766897,0.9714093310204532,0.001,3230,"{'SVM__alpha': 0.001, 'SVM__n_iter': 3230}",2,0.9725545390570022,0.9655311519497983,0.989795918367347,0.9706857911250559,0.9591836734693877,0.9732631107126849,0.9378591954022986,0.9690078037904124,0.9404761904761906,0.9785587975243146,0.001656372451592857,9.147285413830874e-05,0.01957584279955879,0.004367956104191321
0.0439875602722168,0.000921630859375,0.9580592439238904,0.9714093310204532,0.000316227766017,3230,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 3230}",7,0.9725545390570022,0.9655311519497983,0.989795918367347,0.9706857911250559,0.9591836734693877,0.9732631107126849,0.9274425287356322,0.9690078037904124,0.9404761904761906,0.9785587975243146,0.0027853716531687917,0.0008510782116961387,0.022199781287385208,0.004367956104191321
0.04360079765319824,0.0004938125610351562,0.9580751740685581,0.9714168272723274,0.0001,3230,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 3230}",5,0.9623504574243492,0.9698789780367548,0.989795918367347,0.9706857911250559,0.9591836734693877,0.9732631107126849,0.9378591954022986,0.9690078037904124,0.9404761904761906,0.9742484526967284,0.0015224446825618252,7.231301141674306e-05,0.018678112300057424,0.00200647219480556
0.04357919692993164,0.0005064964294433594,0.9546001673858531,0.9727868639034962,3.16227766017e-05,3230,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 3230}",10,0.9451090781140042,0.9637606454504707,0.989795918367347,0.9706857911250559,0.9591836734693877,0.9776109367996412,0.9378591954022986,0.9690078037904124,0.9404761904761906,0.9828691423519009,0.0013997292690783071,0.0001069934394248588,0.01915716157230894,0.006709581801257495
0.04237322807312012,0.000498199462890625,0.9580751740685581,0.9722766867953808,1e-05,3230,"{'SVM__alpha': 1.0000000000000001e-05, 'SVM__n_iter': 3230}",5,0.962350457424349,0.9663379650380994,0.989795918367347,0.9706857911250559,0.9591836734693877,0.9776109367996412,0.9378591954022986,0.96644370122631,0.9404761904761906,0.9803050397877984,0.00229459225726025,9.276383751841259e-05,0.01867811230005741,0.005739891299877832
0.041335248947143556,0.0005094051361083984,0.9566249815884652,0.9642892372211991,3.16227766017e-06,3230,"{'SVM__alpha': 3.1622776601683792e-06, 'SVM__n_iter': 3230}",9,0.9725545390570022,0.9594128193635141,0.989795918367347,0.950717167189601,0.9591836734693877,0.9645674585387719,0.9378591954022986,0.96644370122631,0.9226190476190477,0.9803050397877984,0.0014322663875619985,8.719024483293569e-05,0.023903880864734793,0.00968716253779724
0.04323573112487793,0.0005209445953369141,0.937989307368675,0.9604935379257238,1e-06,3230,"{'SVM__alpha': 9.9999999999999995e-07, 'SVM__n_iter': 3230}",14,0.9176636171710064,0.9558718063648587,0.9725545390570022,0.9663379650380994,0.9317382125263899,0.9560286866875839,0.9274425287356322,0.9464882943143812,0.9404761904761906,0.9777409372236957,0.00234081133868586,0.00010338561975218483,0.018849215832511753,0.01066838561946485
0.04228620529174805,0.0005074024200439453,0.9428745012216773,0.9577415495265849,3.16227766017e-07,3230,"{'SVM__alpha': 3.1622776601683792e-07, 'SVM__n_iter': 3230}",13,0.9897959183673469,0.9750336172120124,0.9725545390570022,0.9576423128641864,0.9349049964813512,0.9550649932765576,0.8757183908045976,0.9352285395763656,0.9404761904761906,0.9657382847038021,0.001854277451076755,7.983547137855836e-05,0.03914769148803972,0.01324366109975142
