param_SVM__n_iter,test acc,train acc
1,0.966282642089094,0.9675925925925927
2,0.966282642089094,0.9655349794238683
4,0.966282642089094,0.9655349794238683
8,0.966282642089094,0.9655349794238683
16,0.966282642089094,0.9655349794238683
32,0.966282642089094,0.9655349794238683
64,0.966282642089094,0.9655349794238683
128,0.966282642089094,0.9655349794238683
256,0.966282642089094,0.9655349794238683
512,0.966282642089094,0.9655349794238683
1024,0.966282642089094,0.9655349794238683
2048,0.966282642089094,0.9655349794238683
