mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.004662179946899414,0.0007642269134521485,0.9213894336581643,0.9427030556886505,1,{'Boost__n_estimators': 1},13,0.8423645320197048,0.9370237561631554,0.989795918367347,0.9576423128641863,0.9451090781140044,0.9706857911250559,0.9098419540229885,0.930546265328874,0.919642857142857,0.9176171529619805,0.00036380270907254437,1.5528061303991873e-05,0.04839772892046897,0.019055494735243435
0.00866389274597168,0.0009349346160888672,0.9462109099632011,0.9476649561817029,2,{'Boost__n_estimators': 2},12,0.9655172413793103,0.9618332586284176,0.989795918367347,0.9576423128641863,0.9451090781140044,0.9706857911250559,0.9098419540229885,0.930546265328874,0.919642857142857,0.9176171529619805,0.00032410660578547333,0.0001231323917852379,0.029326388951155465,0.020130411505610457
0.020640850067138672,0.0012442111968994141,0.9552097748125357,0.9741405169738682,5,{'Boost__n_estimators': 5},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9689152846257283,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0011839154625729775,0.00031637384007367165,0.018569212566532888,0.004023609144784895
0.023482751846313477,0.0010598182678222656,0.9552097748125357,0.9732709517564769,10,{'Boost__n_estimators': 10},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.004477438201099464,8.714313545466596e-05,0.018569212566532888,0.005319902802180177
0.024549245834350586,0.0013579845428466797,0.9552097748125357,0.9732709517564769,20,{'Boost__n_estimators': 20},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0034759389787427392,0.00021779885756444473,0.018569212566532888,0.005319902802180177
0.024350881576538086,0.001214599609375,0.9552097748125357,0.9732709517564769,30,{'Boost__n_estimators': 30},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0029978376625564643,0.0001602547891182134,0.018569212566532888,0.005319902802180177
0.0231109619140625,0.0010588645935058593,0.9552097748125357,0.9732709517564769,40,{'Boost__n_estimators': 40},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0036173001669278617,0.00016381646014326388,0.018569212566532888,0.005319902802180177
0.02369065284729004,0.001108694076538086,0.9552097748125357,0.9732709517564769,50,{'Boost__n_estimators': 50},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0023096596650491056,0.0002282039916599646,0.018569212566532888,0.005319902802180177
0.02243351936340332,0.0011981010437011718,0.9552097748125357,0.9732709517564769,60,{'Boost__n_estimators': 60},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0034412089332199946,6.864458032113689e-05,0.018569212566532888,0.005319902802180177
0.02382035255432129,0.001224517822265625,0.9552097748125357,0.9732709517564769,70,{'Boost__n_estimators': 70},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0039038071057769783,0.00023664270868852783,0.018569212566532888,0.005319902802180177
0.025750160217285156,0.0011443614959716797,0.9552097748125357,0.9732709517564769,80,{'Boost__n_estimators': 80},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.0046299636187458705,5.890500483247049e-05,0.018569212566532888,0.005319902802180177
0.0242520809173584,0.0011119842529296875,0.9552097748125357,0.9732709517564769,90,{'Boost__n_estimators': 90},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.003162381260040089,0.0002077926453990885,0.018569212566532888,0.005319902802180177
0.023770952224731447,0.0014200210571289062,0.9552097748125357,0.9732709517564769,100,{'Boost__n_estimators': 100},1,0.9380717804363127,0.9748767368892872,0.989795918367347,0.9645674585387718,0.9451090781140044,0.9706857911250559,0.9446839080459769,0.9759197324414715,0.9583333333333333,0.9803050397877984,0.004491379675099011,0.00041186553868716115,0.018569212566532888,0.005319902802180177
