param_MLP__max_iter,test acc,train acc
1,0.5284946236559142,0.5043724279835392
2,0.6193548387096777,0.5586419753086421
4,0.7369431643625194,0.6873713991769549
8,0.8944700460829493,0.8578960905349795
16,0.9534562211981568,0.9282407407407409
32,0.9695852534562215,0.9593621399176955
64,0.974347158218126,0.9634773662551441
128,0.966282642089094,0.9710648148148149
256,0.974347158218126,0.969650205761317
512,0.974347158218126,0.969650205761317
1024,0.974347158218126,0.969650205761317
2048,0.974347158218126,0.969650205761317
2100,0.974347158218126,0.969650205761317
2200,0.974347158218126,0.969650205761317
2300,0.974347158218126,0.969650205761317
2400,0.974347158218126,0.969650205761317
2500,0.974347158218126,0.969650205761317
2600,0.974347158218126,0.969650205761317
2700,0.974347158218126,0.969650205761317
2800,0.974347158218126,0.969650205761317
2900,0.974347158218126,0.969650205761317
3000,0.974347158218126,0.969650205761317
