,0,1,2,3,4
38,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
77,0.9888888888888889,1.0,1.0,1.0,1.0
100,0.9916666666666666,0.9875,1.0,1.0,1.0
116,0.9857142857142859,0.9891304347826085,1.0,1.0,1.0
154,0.9757641526496654,0.9809187918249233,0.9861709770114943,0.9863475177304966,0.9863475177304966
193,0.9806382012264366,0.9806382012264366,0.9890415625709744,0.9824293785310734,0.9824293785310734
232,0.9802795031055901,0.9748447204968944,0.9874223602484471,0.9746734628862694,0.9746734628862694
270,0.9741079703429103,0.972312326227989,0.9783364226135312,0.9783364226135312,0.973389355742297
