mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0036248683929443358,0.000890350341796875,0.377747509193049,0.3744999050303274,1,{'MLP__max_iter': 1},22,0.38202056021204966,0.3702673272565746,0.39266781288057895,0.3669657701915767,0.36274088401747984,0.38632952073812293,0.40312262242758257,0.37377115330247807,0.3479997090656549,0.3751657536628842,0.00046667688478830226,0.00019528723624122435,0.019927099247903785,0.006566462421361856
0.005721092224121094,0.0007827281951904297,0.38698869097385247,0.3840338978944717,2,{'MLP__max_iter': 2},21,0.3996973278888173,0.37736616231239883,0.3939931227165271,0.38621812277726253,0.38637259115982525,0.3887872382496039,0.3980195401658964,0.3862763164532653,0.3565259623709272,0.38152164967982766,0.0008534246640490644,4.743511243990283e-05,0.015824237271750655,0.004078323497408598
0.008695888519287109,0.0008476734161376953,0.39334017766030954,0.40333235790408234,4,{'MLP__max_iter': 4},20,0.4001808868830146,0.40086556215588476,0.4004316211763021,0.402636789733564,0.40501647682498754,0.3951898360500511,0.3752945870214699,0.4102724595311875,0.3854891802924829,0.4076971420497246,0.0007544798846370659,0.00011733862838159867,0.01113243209287852,0.0052931259142238165
0.016463184356689455,0.0009232044219970703,0.4046942304055923,0.4089280267752523,8,{'MLP__max_iter': 8},19,0.3862472240131815,0.4079323702979617,0.40002865534780435,0.40938332873816746,0.42871086754065485,0.4014183745366541,0.3847654437825901,0.4149837091013563,0.42380335653769363,0.41092235120212167,0.0006345532873401916,0.00010274655789338424,0.0184404887331228,0.0044326544371783485
0.030431222915649415,0.0009096145629882812,0.4310895994615951,0.44584863632568084,16,{'MLP__max_iter': 16},18,0.425093129880364,0.4411888390383014,0.4118131671323161,0.4501953641738588,0.43317035604269655,0.4473449688503452,0.39405769266455115,0.45522975173859925,0.4918362415036614,0.43528425782729946,0.0022419890002876655,0.00014769552013707175,0.03296331354089078,0.006963593673061649
0.06160359382629395,0.001043558120727539,0.4642803720252901,0.4681978400794448,32,{'MLP__max_iter': 32},17,0.4835948133820474,0.4694184747948189,0.45257539938391006,0.47363071018985,0.4584855648685436,0.4638722488184854,0.4130782720035628,0.47459434307832205,0.5138921149753762,0.4594734235157477,0.00623430854256934,0.00017304209578851225,0.03344437191319465,0.0057749019297881855
0.11585350036621093,0.0011226177215576173,0.4842374548988873,0.5054757906649077,64,{'MLP__max_iter': 64},16,0.5192438570098145,0.49216593840249756,0.46646428827279895,0.49711340033920676,0.48986317071423463,0.5007825706750438,0.4291367440479503,0.5247378159860226,0.516413154924885,0.5125792279217674,0.0041687416775286834,0.00018994433373101973,0.03354755624791499,0.011752382681084157
0.22516779899597167,0.0009755611419677735,0.5059084692597647,0.5382842413661901,128,{'MLP__max_iter': 128},15,0.5680027222580415,0.5150846763749989,0.48944229529335914,0.5351028899415996,0.5247331470735727,0.5406964600512988,0.449890051773089,0.5614899651245898,0.4968008953269845,0.5390472153384636,0.013678492901052258,9.948592243521514e-05,0.039263024327694594,0.014786800574063078
0.41671085357666016,0.0008931159973144531,0.5234877871094339,0.5691840760342866,256,{'MLP__max_iter': 256},14,0.5951088903216564,0.5409902721730679,0.5028476251880508,0.5673734867283254,0.507665305537646,0.5729002180615084,0.4721278925198091,0.5931195290353588,0.5394239499968326,0.5715368741731726,0.013972982466604144,0.00022899575180179073,0.04173886253304525,0.016675851347473056
0.5024483680725098,0.0006821632385253906,0.5286964110763084,0.5726430935047742,512,{'MLP__max_iter': 512},1,0.5951088903216564,0.5409902721730679,0.5000268643885666,0.5693995371414726,0.507665305537646,0.5729002180615084,0.4795435988791774,0.6058735355722443,0.561132579250281,0.5740519045755775,0.09349308452268962,0.00010013732454869976,0.04277517223629863,0.020585115485754337
0.5079675674438476,0.0006590843200683594,0.5286964110763084,0.5726430935047742,1024,{'MLP__max_iter': 1024},1,0.5951088903216564,0.5409902721730679,0.5000268643885666,0.5693995371414726,0.507665305537646,0.5729002180615084,0.4795435988791774,0.6058735355722443,0.561132579250281,0.5740519045755775,0.07381723643069828,3.632816991575731e-05,0.04277517223629863,0.020585115485754337
0.48140482902526854,0.0006922245025634766,0.5286964110763084,0.5726430935047742,2048,{'MLP__max_iter': 2048},1,0.5951088903216564,0.5409902721730679,0.5000268643885666,0.5693995371414726,0.507665305537646,0.5729002180615084,0.4795435988791774,0.6058735355722443,0.561132579250281,0.5740519045755775,0.07990304647340246,0.0001488709434303944,0.04277517223629863,0.020585115485754337
0.4902855396270752,0.0006444931030273437,0.5286964110763084,0.5726430935047742,2100,{'MLP__max_iter': 2100},1,0.5951088903216564,0.5409902721730679,0.5000268643885666,0.5693995371414726,0.507665305537646,0.5729002180615084,0.4795435988791774,0.6058735355722443,0.561132579250281,0.5740519045755775,0.06120818932557341,1.7149838020600614e-05,0.04277517223629863,0.020585115485754337
0.49389214515686036,0.0006335258483886718,0.5286964110763084,0.5726430935047742,2200,{'MLP__max_iter': 2200},1,0.5951088903216564,0.5409902721730679,0.5000268643885666,0.5693995371414726,0.507665305537646,0.5729002180615084,0.4795435988791774,0.6058735355722443,0.561132579250281,0.5740519045755775,0.08438701017626443,1.530446725701653e-05,0.04277517223629863,0.020585115485754337
