param_SVM__n_iter,test acc,train acc
1,0.9629800307219663,0.9390432098765433
2,0.966282642089094,0.9578189300411524
4,0.974347158218126,0.9620627572016461
8,0.9776497695852535,0.9621913580246915
16,0.9714285714285715,0.953317901234568
32,0.9695852534562215,0.9620627572016464
64,0.9695852534562215,0.9620627572016464
128,0.9695852534562215,0.9642489711934158
256,0.974347158218126,0.9620627572016461
512,0.974347158218126,0.9724794238683129
1024,0.974347158218126,0.9704218106995885
2048,0.9824116743471585,0.9704218106995885
