param_Boost__n_estimators,test acc,train acc
1,0.9259600614439326,0.9785236625514404
2,0.9259600614439326,0.9785236625514404
5,0.9259600614439326,0.9785236625514404
10,0.9259600614439326,0.9785236625514404
20,0.9259600614439326,0.9785236625514404
30,0.9259600614439326,0.9785236625514404
40,0.9259600614439326,0.9785236625514404
50,0.9259600614439326,0.9785236625514404
60,0.9259600614439326,0.9785236625514404
70,0.9259600614439326,0.9785236625514404
80,0.9259600614439326,0.9785236625514404
90,0.9259600614439326,0.9785236625514404
100,0.9259600614439326,0.9785236625514404
