param_Boost__n_estimators,test acc,train acc
1,0.4974385309679427,0.5425656483885786
2,0.4974385309679427,0.5425656483885786
5,0.5559954352111215,0.5663656350584297
10,0.5504336549434589,0.5998091523942409
20,0.5467755991285403,0.6068263597375326
30,0.5230137981118373,0.6251576355636719
40,0.5534920634920636,0.6618981436447879
50,0.5639070442992012,0.6807400504648631
