mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0012618064880371093,0.0011243820190429688,0.9412747623775518,1.0,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",72,0.9553131597466574,1.0,0.9553131597466572,1.0,0.9521463757916961,1.0,0.9378591954022986,1.0,0.9047619047619048,1.0,0.0003204092586261364,0.00015104760657609832,0.019167664965796503,0.0
0.0011225700378417968,0.0010647773742675781,0.9412747623775518,1.0,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",72,0.9553131597466574,1.0,0.9553131597466572,1.0,0.9521463757916961,1.0,0.9378591954022986,1.0,0.9047619047619048,1.0,0.00024586588568386035,5.9204474858454076e-05,0.019167664965796503,0.0
0.001071786880493164,0.0010565757751464845,0.9586370668288702,0.9729557227730306,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",8,0.9553131597466574,0.9750336172120124,0.989795918367347,0.9619901389511428,0.9693877551020409,0.9758404303003138,0.9551005747126436,0.973355629877369,0.9226190476190477,0.9785587975243147,0.00011522230970003374,9.49325181371902e-06,0.021873646023948402,0.0057347638788870945
0.0010758399963378905,0.0011260032653808594,0.9516870534634598,1.0,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",25,0.9380717804363127,1.0,0.9725545390570022,1.0,0.9693877551020409,1.0,0.9551005747126436,1.0,0.9226190476190477,1.0,8.362309979051539e-05,8.669686360422174e-05,0.01888195660545076,0.0
0.0010963916778564454,0.0011297702789306641,0.9453116618205689,0.9550422766412193,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",52,0.9482758620689655,0.95329448677723,0.9725545390570022,0.9497534737785744,0.962350457424349,0.9497534737785744,0.9551005747126436,0.9585284280936455,0.8869047619047619,0.9638815207780724,0.00011137436007457365,4.220927402507079e-05,0.029981136132282163,0.005464121699022634
0.0010663986206054688,0.0011454105377197265,0.9453434842260882,1.0,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",51,0.9310344827586208,1.0,0.9725545390570022,1.0,0.962350457424349,1.0,0.9551005747126436,1.0,0.9047619047619048,1.0,9.328906800571248e-05,2.2344489510509447e-05,0.024313701999979582,0.0
0.0011537551879882812,0.0011844158172607422,0.9522934975914985,0.9576386231943503,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",23,0.9655172413793103,0.9602196324518152,0.9725545390570022,0.9454056476916181,0.962350457424349,0.954101299865531,0.9551005747126436,0.9559643255295428,0.9047619047619048,0.9725022104332448,0.00011881758230939458,1.5889055566383996e-05,0.0241580949076141,0.008860580715153867
0.00129241943359375,0.0015220165252685547,0.9522934975914985,1.0,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",23,0.9655172413793103,1.0,0.9725545390570022,1.0,0.962350457424349,1.0,0.9551005747126436,1.0,0.9047619047619048,1.0,0.00019228870939640947,0.00038213482335438306,0.0241580949076141,0.0
0.0012072086334228515,0.0013062477111816407,0.948786668503274,0.9562610903113073,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",39,0.9655172413793103,0.95329448677723,0.9725545390570022,0.945405647691618,0.962350457424349,0.954101299865531,0.9551005747126436,0.9603121516164995,0.8869047619047619,0.9681918656056586,0.00013558985122847923,9.418232807346815e-05,0.03110157539424974,0.00761656829011811
0.0012287139892578126,0.0013865947723388672,0.948786668503274,1.0,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",39,0.9655172413793103,1.0,0.9725545390570022,1.0,0.962350457424349,1.0,0.9551005747126436,1.0,0.8869047619047619,1.0,0.0001599665081293366,0.0001654181984526644,0.03110157539424974,0.0
0.0011968135833740235,0.0015304088592529297,0.9453116618205689,0.9527978219454903,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",52,0.9482758620689655,0.95329448677723,0.9725545390570022,0.945405647691618,0.962350457424349,0.954101299865531,0.9551005747126436,0.9516164994425864,0.8869047619047619,0.9595711759504862,0.00019095964299717592,0.00020861846377703887,0.029981136132282163,0.004557714738234411
0.0010865211486816406,0.0013458728790283203,0.9453116618205689,1.0,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",52,0.9482758620689655,1.0,0.9725545390570022,1.0,0.962350457424349,1.0,0.9551005747126436,1.0,0.8869047619047619,1.0,0.00015352834028547514,0.00011481115929461355,0.029981136132282163,0.0
