mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0031497955322265627,0.0008896827697753906,0.9107418651324025,0.9835714319683933,1,{'Boost__n_estimators': 1},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0005973903649576265,9.808722314922291e-05,0.04477321397691179,0.005188171158552266
0.004609394073486328,0.0009313106536865234,0.9107418651324025,0.9835714319683933,2,{'Boost__n_estimators': 2},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0002669444291448535,0.00011079487605260146,0.04477321397691179,0.005188171158552266
0.005246305465698242,0.0009127140045166015,0.9107418651324025,0.9835714319683933,5,{'Boost__n_estimators': 5},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0014314957935654283,7.213766140313696e-05,0.04477321397691179,0.005188171158552266
0.005403661727905273,0.0009032726287841797,0.9107418651324025,0.9835714319683933,10,{'Boost__n_estimators': 10},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0013167317567733172,0.00012798131665788922,0.04477321397691179,0.005188171158552266
0.005051708221435547,0.0008864879608154296,0.9107418651324025,0.9835714319683933,20,{'Boost__n_estimators': 20},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0011779083024264637,0.00016159689785530103,0.04477321397691179,0.005188171158552266
0.005062770843505859,0.0008202075958251953,0.9107418651324025,0.9835714319683933,30,{'Boost__n_estimators': 30},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0011375442317144182,0.00010559767462417912,0.04477321397691179,0.005188171158552266
0.00481719970703125,0.0008251667022705078,0.9107418651324025,0.9835714319683933,40,{'Boost__n_estimators': 40},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0012242696152530703,6.87572066027677e-05,0.04477321397691179,0.005188171158552266
0.005196380615234375,0.0009466171264648438,0.9107418651324025,0.9835714319683933,50,{'Boost__n_estimators': 50},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0019879065955717384,0.00015162054036205422,0.04477321397691179,0.005188171158552266
0.005015325546264648,0.0008727550506591797,0.9107418651324025,0.9835714319683933,60,{'Boost__n_estimators': 60},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.001071195475951533,0.00010555946981692016,0.04477321397691179,0.005188171158552266
0.00486907958984375,0.00078887939453125,0.9107418651324025,0.9835714319683933,70,{'Boost__n_estimators': 70},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.001319378953155994,5.7502567728277414e-05,0.04477321397691179,0.005188171158552266
0.005446100234985351,0.0008824825286865235,0.9107418651324025,0.9835714319683933,80,{'Boost__n_estimators': 80},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0010516457381986946,8.540080286901715e-05,0.04477321397691179,0.005188171158552266
0.0049667835235595705,0.0008168220520019531,0.9107418651324025,0.9835714319683933,90,{'Boost__n_estimators': 90},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0015137787164606418,6.651100673813989e-05,0.04477321397691179,0.005188171158552266
0.004753923416137696,0.0008025646209716796,0.9107418651324025,0.9835714319683933,100,{'Boost__n_estimators': 100},1,0.8282899366643214,0.9748767368892872,0.9553131597466572,0.9818018825638725,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.9434523809523809,0.9845048629531388,0.0011797893231378128,8.304053053591798e-05,0.04477321397691179,0.005188171158552266
