param_MLP__max_iter,test acc,train acc
1,0.3661323788774769,0.3759611265770816
2,0.37638966697790227,0.3910388593499807
4,0.3917169830895321,0.4109087915426341
8,0.4124214130096483,0.41361661228559454
16,0.4154123871770931,0.44973395138471783
32,0.4637981118373275,0.47367212774935913
64,0.4816962340491753,0.5149450502756157
128,0.5113673617595186,0.5479970923453614
256,0.5067714493204689,0.5688248581750998
512,0.5005871978420998,0.5785273204057835
1024,0.5005871978420998,0.5785273204057835
2048,0.5005871978420998,0.5785273204057835
2100,0.5005871978420998,0.5785273204057835
2200,0.5005871978420998,0.5785273204057835
2300,0.5005871978420998,0.5785273204057835
2400,0.5005871978420998,0.5785273204057835
2500,0.5005871978420998,0.5785273204057835
2600,0.5005871978420998,0.5785273204057835
2700,0.5005871978420998,0.5785273204057835
2800,0.5005871978420998,0.5785273204057835
2900,0.5005871978420998,0.5785273204057835
3000,0.5005871978420998,0.5785273204057835
