param_SVM__n_iter,test acc,train acc
100,0.974347158218126,0.9765946502057614
200,0.9904761904761905,0.9656635802469138
300,0.9333333333333333,0.8930041152263375
400,0.935483870967742,0.8972479423868314
500,0.954915514592934,0.9666923868312758
600,0.9904761904761905,0.9677211934156381
700,0.935483870967742,0.9180812757201647
800,0.9904761904761905,0.9711934156378603
900,0.9904761904761905,0.9697788065843624
1000,0.974347158218126,0.9780092592592593
1100,0.966282642089094,0.9778806584362142
1200,0.9435483870967742,0.938914609053498
1300,0.9904761904761905,0.9670781893004118
1400,0.9629800307219665,0.9597479423868314
1500,0.974347158218126,0.9827674897119343
1600,0.9904761904761905,0.9711934156378603
1700,0.954915514592934,0.9562757201646092
1800,0.9596774193548387,0.952803497942387
1900,0.9904761904761905,0.9691358024691361
2000,0.980952380952381,0.9238683127572017
2100,0.9904761904761905,0.9732510288065847
2200,0.966282642089094,0.990354938271605
2300,0.9629800307219665,0.9771090534979425
2400,0.954915514592934,0.9513888888888888
2500,0.9435483870967742,0.9305555555555556
