param_SVM__n_iter,test acc,train acc
1,0.4089117128332815,0.4014979923124621
4,0.4093246187363834,0.4234758612433096
7,0.5481004253553273,0.5428770917860851
10,0.4007407407407408,0.40304567866232593
13,0.3727741466957153,0.3881917929867578
16,0.4754964207905385,0.493809136264069
19,0.500806100217865,0.506465003835285
22,0.48265483971366324,0.5003615998574429
25,0.5210872497147007,0.5440507620514003
28,0.5328778918974997,0.5560199412617789
31,0.41042950513538745,0.4017150032026402
34,0.42999170038385726,0.45353734942206925
37,0.5096036933291835,0.555432000138217
40,0.42690216827471733,0.4553164473008806
43,0.4626890756302521,0.5083846308299762
46,0.4828218694885361,0.4968173587011054
49,0.43491337275651,0.4493516244384775
52,0.3929505135387489,0.43074507066225953
55,0.4644122834318913,0.5096147202856155
58,0.4026579520697168,0.4394306402518535
61,0.48131756406266213,0.499721299394942
64,0.4264415395787945,0.4158883631168947
67,0.48882664176781826,0.5116845526787474
70,0.3674250440917108,0.37275325230052025
73,0.46456063907044304,0.5387590552663928
