mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.039826583862304685,0.0045757293701171875,0.4350817882446415,0.4494320939404323,1,{'SVM__n_iter': 1},14,0.4341822480120353,0.45680961809994075,0.43552546744036114,0.46197569853483833,0.45615731785944563,0.443847072879331,0.4004226279945814,0.43371305351219275,0.4489879473408836,0.4508150266758588,0.001820807882788316,0.0003803428755373664,0.01915345856590168,0.009919305158459676
0.050361013412475585,0.003959941864013672,0.4099103385460339,0.4337644481367195,4,{'SVM__n_iter': 4},20,0.35528153879217717,0.36231629780016883,0.40109427609427617,0.41286451501505267,0.389560498603052,0.424753462387871,0.4305586483326838,0.48950119968771344,0.4741877887347407,0.47938676579279166,0.0014305569450781155,0.00042032197182019667,0.04002194470703057,0.046499085145708455
0.0599940299987793,0.00462031364440918,0.36040003061945186,0.37024826819337864,7,{'SVM__n_iter': 7},24,0.3295454545454545,0.3331188922586772,0.4190755068414644,0.44402948704023976,0.3712121212121213,0.37807493183837276,0.34832479726845905,0.36090216530197405,0.33333333333333337,0.33511586452762926,0.00440529006834873,0.00029852226436778603,0.0328761800697679,0.04050963071229002
0.0663294792175293,0.003913211822509766,0.4693714278408473,0.47759403820460433,10,{'SVM__n_iter': 10},4,0.44853678630274385,0.41911394061931695,0.5325685937388066,0.520740907837682,0.4718819399670465,0.5101915209442092,0.4210993894857948,0.4877232868624548,0.47234715975345676,0.4502005347593583,0.003310127736192988,0.0006575308365867885,0.03683324422213134,0.03793988867420315
0.07901721000671387,0.0033699512481689454,0.3971273514479357,0.414001249555796,13,{'SVM__n_iter': 13},22,0.4550290135396519,0.47042244891707263,0.38781431334622835,0.4306283123487425,0.44060283687943264,0.4611708482676225,0.33333333333333315,0.33333333333333337,0.3678160919540231,0.3744513049122088,0.005188955783475018,0.000224191043493726,0.04529029437449367,0.052452440984391405
0.0922123908996582,0.004047870635986328,0.39905567439764644,0.4223611081300912,16,{'SVM__n_iter': 16},21,0.40770291568163913,0.4029208545337578,0.3723493803281038,0.41475410292614595,0.3371212121212122,0.3484207946573538,0.46665367700272764,0.5030425054337059,0.41229619931818134,0.4426672830994926,0.0029201450042618112,0.00048753228805545313,0.043283350072409944,0.05064541155378429
0.10359101295471192,0.004465055465698242,0.3707394265264292,0.38507648861131916,19,{'SVM__n_iter': 19},23,0.39916004011748696,0.39182979505560145,0.3741582491582492,0.39905534529190445,0.3774625689519307,0.4058826478181317,0.36091549295774644,0.3723504474341395,0.34148184123900505,0.3562642074568187,0.007389140749400895,0.0003885047652999925,0.019039717373141373,0.01825382980273025
0.10744276046752929,0.004019546508789063,0.45418571089967374,0.49310732798404616,22,{'SVM__n_iter': 22},10,0.4756429543663587,0.46767648918186555,0.4175263271007953,0.49140286237060427,0.46034816247582216,0.482078853046595,0.4638817755014937,0.5592909313617109,0.4536147419248124,0.4650875039594552,0.0058654389215864935,0.0006267619763816291,0.019723705843050478,0.03445762591670231
0.12482972145080566,0.004265117645263672,0.49088990449962855,0.5332382560106793,25,{'SVM__n_iter': 25},1,0.5220914821978653,0.5426208598251608,0.5419084461637654,0.5804223653686019,0.5300791603983094,0.5415751114675846,0.45798307632355384,0.5633091955425767,0.4007632334067709,0.43826374784947236,0.006092451274988141,0.0008873104612706821,0.053401501377601905,0.049615108976890206
0.125458288192749,0.003488588333129883,0.3565764373323451,0.36817601872098105,28,{'SVM__n_iter': 28},25,0.3665824915824916,0.36508453712754796,0.3446969696969698,0.35327635327635326,0.3333333333333334,0.34462212419201665,0.33333333333333315,0.33333333333333337,0.4054193560496747,0.4445637456756539,0.005439868274419061,0.000361685161905927,0.02714909562956853,0.03958646432964226
0.145947265625,0.0038802623748779297,0.4162349001412145,0.4480582629017357,31,{'SVM__n_iter': 31},18,0.4086073500967118,0.45491863771433666,0.41660398309334484,0.42899633222213873,0.36988681137617313,0.37827127074438904,0.41698444951659885,0.5155663720943493,0.46987656406538525,0.462538701733465,0.002136224627486826,0.0004718559199426479,0.03183464484003472,0.04482783540099608
0.15870542526245118,0.003487825393676758,0.4612681141810567,0.49370039344873895,34,{'SVM__n_iter': 34},8,0.4953882799627481,0.51506796668087,0.4753922200730712,0.5423521122445853,0.3895873629916183,0.38564999317687493,0.4183761992243314,0.5036863343893474,0.528151417249122,0.5217455607520171,0.003511080636555233,4.628490069837666e-05,0.05058477920475578,0.055470176405107645
0.1599818706512451,0.0034922122955322265,0.41488663424400823,0.4357271203001175,37,{'SVM__n_iter': 37},19,0.4297138047138047,0.44755384002695836,0.4360269360269361,0.4453941120607787,0.3333333333333333,0.33512544802867383,0.4651830614782236,0.47890627182831874,0.41059986438705537,0.4716559295558578,0.007307322853304359,0.0003548090983937544,0.044472169659520555,0.051979490097998515
0.1688541889190674,0.0036386489868164063,0.4796442814838412,0.5188134094370114,40,{'SVM__n_iter': 40},2,0.5762142703632066,0.5739640685877245,0.4343523891396232,0.5293826046514218,0.4778995630059461,0.5410376163064335,0.40942492902076466,0.40025749973143576,0.4999460363714857,0.5494252579080412,0.006846649425646575,0.00044965108399737906,0.05787985356524014,0.06105703473989417
