mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0021384239196777345,0.0004985809326171875,0.4522077401713275,0.4541224332825434,1,{'SVM__n_iter': 1},5,0.45930940611791676,0.4473324365797484,0.45305895837810733,0.4422248400743024,0.4600884733863458,0.44654568848117243,0.4455292360221937,0.46268848851345273,0.44285251740327025,0.47182071276404136,0.00027528286141287545,8.015877993956711e-05,0.006998148288222815,0.011239841991612265
0.0024978160858154298,0.00044994354248046876,0.42731949056618374,0.4283547291101749,4,{'SVM__n_iter': 4},14,0.3673884232394871,0.3935160816881247,0.4372806074933735,0.4125358910305147,0.42168135253241645,0.42668343205977616,0.45877637365696133,0.4608312140593347,0.4521342615077439,0.44820702671312423,0.00010842668856810714,1.4013983674435234e-05,0.03266601678790834,0.02414786127584874
0.0035630226135253905,0.0004930973052978515,0.41376491855959946,0.42307613297107444,7,{'SVM__n_iter': 7},20,0.4215828497743392,0.4255889470943235,0.3944319077297801,0.3605172207322745,0.4550200587434631,0.45818677539107655,0.45202406799161227,0.48181582662692185,0.3451408098767518,0.38927189501077597,0.0007325753501935582,5.0773955572615444e-05,0.0406631263572405,0.044149217572510634
0.003643655776977539,0.0004788875579833984,0.42947392430017894,0.41647013888542483,10,{'SVM__n_iter': 10},12,0.5285478902500179,0.4545440620709438,0.46013324736729,0.47516660957521173,0.38408016333548256,0.46472305074455617,0.4017123160570802,0.31492212553905524,0.3717918036287021,0.3729948464973573,0.0002326757976798774,2.7864839301960372e-05,0.05820711738334052,0.0623303182470318
0.004420232772827148,0.0005606174468994141,0.43029784001149884,0.44199014507758977,13,{'SVM__n_iter': 13},11,0.4314510351744394,0.44735889359545267,0.43848055018267795,0.4837247579183063,0.4519485636506913,0.45367794292525476,0.48191421254801525,0.4640524645307047,0.34698613134747186,0.3611366664182303,0.0003691262444291787,0.00014014256247936677,0.044865171547209676,0.04226402001492815
0.0053711414337158205,0.0006302833557128906,0.453554437868014,0.45470237319088386,16,{'SVM__n_iter': 16},4,0.49470771545239633,0.45282157110114096,0.4698760656207465,0.47967126461750115,0.41226090694175804,0.49623474892292097,0.4614114197702684,0.42689658854173446,0.4292396055493381,0.41788769277112175,0.0004583464925666013,9.48501625376466e-05,0.02942733115573259,0.029934607209336075
0.005267524719238281,0.0005265712738037109,0.40380216263923213,0.4417114177728986,19,{'SVM__n_iter': 19},22,0.4140608209757146,0.43993700445313344,0.39630346013324735,0.4683031027117049,0.4541962174940899,0.4619241769779404,0.37974354692052165,0.4388183685170774,0.37404302543563905,0.39957443620463706,0.00028035894462195604,3.85400074890164e-05,0.02886921718691661,0.02409446755948643
0.006258964538574219,0.0006546974182128906,0.4161796257173793,0.4360045932218724,22,{'SVM__n_iter': 22},19,0.449360627552117,0.4643874643874645,0.3556307758435418,0.4323772603342496,0.47010889032165637,0.4741375709117645,0.415149659485238,0.3665201546598008,0.39026261517128763,0.4426005158160825,0.0007136949835727809,0.00021530721088809158,0.04093651981043351,0.0378006939199088
0.006828975677490234,0.0006258010864257813,0.4668496486998926,0.4596407404660131,25,{'SVM__n_iter': 25},1,0.45028297155956737,0.45270181829321615,0.42437674618525684,0.46913301752011427,0.5418457625904436,0.44925126645556757,0.45902688860435337,0.48314078538851385,0.458519566507826,0.443976814672654,0.0006022110753348522,9.977985879715315e-05,0.03967323216492842,0.014448555757757149
0.006955003738403321,0.0006471157073974609,0.388754861021931,0.40373745927009913,28,{'SVM__n_iter': 28},25,0.34648792893473745,0.3699902248289345,0.41957697542803934,0.45063677859376783,0.36782720825274023,0.35329167049597154,0.38546827738499495,0.38755383518654685,0.42490609155516146,0.4572147872452751,0.0004167752239522601,0.0001683428593833739,0.02998281225735721,0.042438034559429204
0.007198762893676758,0.0006815433502197265,0.41220193524494886,0.4476850891903498,31,{'SVM__n_iter': 31},21,0.3960527258399599,0.4315710175925229,0.38961422738018486,0.4167160995117985,0.43877605845690965,0.481722379571842,0.34183924363042534,0.4227891597571177,0.4952512006907345,0.48562678951846816,0.00024852427899865254,0.0002585361910120076,0.05146153660394929,0.029788114031664835
0.00804605484008789,0.0005953311920166016,0.4349877359105109,0.4493743516377965,34,{'SVM__n_iter': 34},10,0.43908947632351897,0.4930237027011221,0.4100490722831149,0.47799751025557474,0.3497295651550971,0.3757132950681338,0.47361938428992917,0.43327420228424546,0.5038220326456491,0.46686304787990585,0.0002738570741897042,5.892499627145481e-05,0.05314776062837701,0.041750620637117264
0.008181190490722657,0.0005405426025390625,0.3915619229158878,0.42315498672774865,37,{'SVM__n_iter': 37},24,0.37500000000000006,0.4137543062274246,0.32599040045848565,0.3394323716904362,0.37805358550039403,0.39921687233515185,0.4219692330531276,0.47912069863289375,0.45805383693129964,0.48425068475283684,0.00029986061559993083,0.0001151602114488837,0.04489510680692133,0.053917951759039774
0.008861398696899414,0.000537872314453125,0.4251213726974322,0.4207186634783401,40,{'SVM__n_iter': 40},15,0.4225231033741672,0.43913633160944987,0.46033920767963327,0.4450557407546655,0.419371015115696,0.476376669925057,0.4405096587429715,0.3810861190105571,0.38239331038706004,0.3619384560919711,0.000698408633040043,7.196798196181738e-05,0.025806742085092562,0.04255624248624319
