mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.00369877815246582,0.0005601882934570312,0.43451024854325193,0.8760868189887143,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",27,0.4463249516441007,0.8673111038702437,0.40269718461207826,0.8638800466757456,0.4317196790601047,0.8734212820234325,0.391169812021006,0.8875755379820421,0.5011871998273165,0.8882461243921072,0.00028951573210014977,0.00011327021547385483,0.03856682900016531,0.010128799785316398
0.003951263427734375,0.0005831718444824219,0.447137625293739,0.8734677137171121,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",25,0.46008847338634573,0.8762883870410753,0.42944516082813955,0.865910274512425,0.47157747689662594,0.8759472307859405,0.36415595019391694,0.8781006973259485,0.5105381581509716,0.8710919789201711,0.00025179979300016264,0.00013106387801077387,0.04881889154826052,0.004434585508766611
0.05914230346679687,0.0005402088165283204,0.4972137220683175,0.7685605449026061,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",12,0.526819614585572,0.7899452200527468,0.469070133963751,0.7579002041367633,0.5140858944050434,0.7348533585092726,0.4463387704355247,0.7678528673268034,0.5297339593114242,0.7922510744874446,0.002130080690708153,7.0633474757069e-05,0.03342369490441148,0.021301941745471304
0.05698161125183106,0.0005449295043945312,0.49078111914724676,0.7953407009061234,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",18,0.5336163048929007,0.7947297624716979,0.45223511712873427,0.781020850913324,0.5198527831506556,0.7879804385180729,0.44807381840449795,0.8260522799021126,0.49984632097097,0.7869201727254095,0.0022080807127859044,0.00014898705089332634,0.03487827707775142,0.015960646548789748
0.056526470184326175,0.0005448341369628906,0.4972137220683175,0.7685605449026061,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",12,0.526819614585572,0.7899452200527468,0.469070133963751,0.7579002041367633,0.5140858944050434,0.7348533585092726,0.4463387704355247,0.7678528673268034,0.5297339593114242,0.7922510744874446,0.00246314661724516,8.670237094939152e-05,0.03342369490441148,0.021301941745471304
0.05812969207763672,0.0005380153656005859,0.49078111914724676,0.7953407009061234,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",18,0.5336163048929007,0.7947297624716979,0.45223511712873427,0.781020850913324,0.5198527831506556,0.7879804385180729,0.44807381840449795,0.8260522799021126,0.49984632097097,0.7869201727254095,0.004061633838048059,6.837661958852924e-05,0.03487827707775142,0.015960646548789748
0.05937771797180176,0.0005578994750976562,0.4929360352121819,0.7639402263867136,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",17,0.5200856078515653,0.7828881592322451,0.46949100938462646,0.7256504944676988,0.5149276452467942,0.74249386614978,0.4303707621221398,0.7749525391801816,0.5297339593114242,0.7937160729036625,0.0020441234216674988,0.00010360575300678131,0.0374575646425146,0.02566299345681714
0.06215081214904785,0.0005114078521728516,0.4806045651433789,0.7831418285207372,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",22,0.528986675263271,0.8010557741740537,0.4623361272297443,0.7637304949132906,0.5143814026792751,0.7836206008249018,0.41480172205830484,0.832443501023128,0.4818998951228612,0.7348587716683125,0.012840075756284082,8.285338924897223e-05,0.04035992311248214,0.03304496038658929
0.05763883590698242,0.0005059242248535156,0.4972137220683175,0.7685605449026061,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",12,0.526819614585572,0.7899452200527468,0.469070133963751,0.7579002041367633,0.5140858944050434,0.7348533585092726,0.4463387704355247,0.7678528673268034,0.5297339593114242,0.7922510744874446,0.003675239122150386,7.882494666496495e-05,0.03342369490441148,0.021301941745471304
0.05723881721496582,0.0005305290222167968,0.49078111914724676,0.7953407009061234,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",18,0.5336163048929007,0.7947297624716979,0.45223511712873427,0.781020850913324,0.5198527831506556,0.7879804385180729,0.44807381840449795,0.8260522799021126,0.49984632097097,0.7869201727254095,0.0028112829217758505,7.298964308324618e-05,0.03487827707775142,0.015960646548789748
0.05903902053833008,0.0004995346069335937,0.43451024854325193,0.8760868189887143,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",27,0.4463249516441007,0.8673111038702437,0.40269718461207826,0.8638800466757456,0.4317196790601047,0.8734212820234325,0.391169812021006,0.8875755379820421,0.5011871998273165,0.8882461243921072,0.004545756171659175,4.922945893224239e-05,0.03856682900016531,0.010128799785316398
