mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0022117137908935548,0.000711822509765625,0.4988632392723641,0.500222091571185,1,{'MLP__max_iter': 1},22,0.5559465165376498,0.5008516360376513,0.501759324419423,0.5024652622142537,0.46023926812104154,0.4981174361272972,0.5010775862068967,0.500891861761427,0.47470238095238065,0.49878426171529605,0.00035520100817283196,5.469503042196417e-05,0.032783088548290665,0.0015731282280152799
0.002416849136352539,0.0005895614624023438,0.5634880478075575,0.5628247593094808,2,{'MLP__max_iter': 2},21,0.586558761435609,0.564634692962797,0.570021111893033,0.5619004930524429,0.5387051372273047,0.5662483191393993,0.5287356321839082,0.5652173913043478,0.5937499999999997,0.5561229000884172,9.855544653269768e-05,3.307834179512237e-05,0.02568680410147161,0.0036466558580198595
0.003739070892333984,0.0006420612335205078,0.6858530768629291,0.6880266329959523,4,{'MLP__max_iter': 4},20,0.7262491203377908,0.6922008068130883,0.686136523574947,0.6851187808157776,0.6783954961294862,0.6835051546391753,0.663793103448276,0.6843924191750278,0.6741071428571426,0.694916003536693,0.0002119822156322297,4.058245610282802e-05,0.021541665557459313,0.004625884443693728
0.00633692741394043,0.0007150173187255859,0.8543919617209802,0.8542708007613957,8,{'MLP__max_iter': 8},19,0.8219563687543988,0.8626176602420439,0.8698099929627026,0.8479605558045721,0.8423645320197044,0.8531151949798295,0.8649425287356319,0.8578595317725752,0.8735119047619045,0.8498010610079575,0.0003646587343371504,9.04508683750376e-05,0.019571720173600114,0.005360638825014447
0.011796140670776367,0.0007993221282958984,0.9262460441719235,0.9282326877798213,16,{'MLP__max_iter': 16},18,0.9521463757916959,0.9222097714029582,0.962350457424349,0.9170551322277005,0.9074595355383533,0.9334827431645001,0.9066091954022988,0.9311036789297656,0.9017857142857142,0.9373121131741821,0.00098432313844259,0.0001802925393867424,0.02575433325836567,0.007476027113653988
0.021247434616088866,0.0006744861602783203,0.9558339296245987,0.9598608705163674,32,{'MLP__max_iter': 32},17,0.9897959183673469,0.9516808606006275,0.989795918367347,0.9516808606006275,0.941942294159043,0.9637606454504707,0.9515086206896551,0.9613154960981047,0.9047619047619048,0.970866489832007,0.0010364295409548386,4.569234687182139e-05,0.03193422340490518,0.007379335486121897
0.04057412147521973,0.0007465362548828125,0.9634381396682347,0.9658696484430266,64,{'MLP__max_iter': 64},2,1.0,0.9568354997758852,0.989795918367347,0.9594128193635141,0.9591836734693877,0.9645674585387718,0.9619252873563218,0.9682274247491639,0.9047619047619048,0.9803050397877984,0.0009992706181210884,0.0001179339278879256,0.03301028250077277,0.008233368871067155
0.07972402572631836,0.0007207393646240234,0.9690175355092584,0.9710503768734189,128,{'MLP__max_iter': 128},1,1.0,0.9637606454504707,0.989795918367347,0.9663379650380994,0.9591836734693877,0.9714926042133573,0.9723419540229883,0.9707915273132666,0.9226190476190477,0.9828691423519009,0.0009110701538654334,7.96823284207169e-05,0.026924974434921495,0.006561902088186261
0.16768531799316405,0.000782632827758789,0.962112073511575,0.9731144419859856,256,{'MLP__max_iter': 256},3,1.0,0.9663379650380994,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9714926042133573,0.9551005747126436,0.973355629877369,0.9226190476190477,0.9811229000884173,0.014830737034260057,0.0001735785895468639,0.025082064421421857,0.004749035117865708
0.18611021041870118,0.0005394458770751953,0.962112073511575,0.9765927028555508,512,{'MLP__max_iter': 512},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.019720500439283466,4.5999341556969244e-06,0.025082064421421857,0.004016522243595289
0.1768665313720703,0.000542593002319336,0.962112073511575,0.9765927028555508,1024,{'MLP__max_iter': 1024},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.01847581501369054,3.295231129061688e-05,0.025082064421421857,0.004016522243595289
0.17764458656311036,0.0005300521850585937,0.962112073511575,0.9765927028555508,2048,{'MLP__max_iter': 2048},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.019837033462844805,6.722220188121477e-06,0.025082064421421857,0.004016522243595289
0.17617645263671874,0.0005293846130371094,0.962112073511575,0.9765927028555508,2100,{'MLP__max_iter': 2100},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.0195824508878002,1.3062727451536601e-05,0.025082064421421857,0.004016522243595289
0.1764190673828125,0.000560140609741211,0.962112073511575,0.9765927028555508,2200,{'MLP__max_iter': 2200},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.020810198351297764,4.5191133206819986e-05,0.025082064421421857,0.004016522243595289
0.1760578155517578,0.000525808334350586,0.962112073511575,0.9765927028555508,2300,{'MLP__max_iter': 2300},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.019597945482964334,1.0948164537796015e-05,0.025082064421421857,0.004016522243595289
0.17793574333190917,0.0005549430847167969,0.962112073511575,0.9765927028555508,2400,{'MLP__max_iter': 2400},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.020758861344799748,3.928009584055531e-05,0.025082064421421857,0.004016522243595289
0.17659149169921876,0.0005274772644042969,0.962112073511575,0.9765927028555508,2500,{'MLP__max_iter': 2500},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.020514466395332585,8.479929162185057e-06,0.025082064421421857,0.004016522243595289
0.180008602142334,0.0005775928497314453,0.962112073511575,0.9765927028555508,2600,{'MLP__max_iter': 2600},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.02229421340606126,8.181733646611599e-05,0.025082064421421857,0.004016522243595289
0.1754150390625,0.0005288124084472656,0.962112073511575,0.9765927028555508,2700,{'MLP__max_iter': 2700},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.019518406098200238,6.080374957769424e-06,0.025082064421421857,0.004016522243595289
0.17548871040344238,0.0005352497100830078,0.962112073511575,0.9765927028555508,2800,{'MLP__max_iter': 2800},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.019882784759865345,7.675449127402346e-06,0.025082064421421857,0.004016522243595289
0.17617421150207518,0.0005565166473388671,0.962112073511575,0.9765927028555508,2900,{'MLP__max_iter': 2900},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.020619950138415236,6.729461430170161e-05,0.025082064421421857,0.004016522243595289
0.17603201866149903,0.0005212306976318359,0.962112073511575,0.9765927028555508,3000,{'MLP__max_iter': 3000},3,1.0,0.9706857911250559,0.9725545390570022,0.9732631107126847,0.9591836734693877,0.9801882563872704,0.9551005747126436,0.9777034559643255,0.9226190476190477,0.9811229000884173,0.01976726557540136,1.4866617217034926e-05,0.025082064421421857,0.004016522243595289
