mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.00192413330078125,0.00043978691101074217,0.894732543289079,0.9832248269204017,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",27,0.8455313159746661,0.9748767368892872,0.9035890218156231,0.9843792021515014,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.8973214285714284,0.9801945181255526,0.000243028916639369,4.723832017780063e-05,0.025891529964225318,0.005329884911103922
0.0019052505493164062,0.0004141807556152344,0.9177028648044802,0.9832248269204017,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",21,0.8659394792399722,0.9774540564769162,0.962350457424349,0.9861497086508291,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9861761426978818,0.9330357142857142,0.9801945181255527,0.00036432853458537626,5.831077038230667e-06,0.031850318605046224,0.003696070724321268
0.0037471771240234373,0.00034584999084472654,0.9225962415617588,0.9813822331498802,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.8455313159746661,0.9766472433886151,0.9725545390570022,0.9801882563872704,0.9553131597466572,0.9776109367996414,0.9066091954022988,0.9905239687848382,0.9330357142857142,0.9819407603890362,0.00016358846486296506,4.594988520296708e-06,0.04458742212608957,0.004938657060509505
0.003756856918334961,0.0003437042236328125,0.9295763346771482,0.9788163551055558,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",6,0.8486980999296274,0.9756835499775885,0.962350457424349,0.9853428955625277,0.9553131597466572,0.9776109367996414,0.9238505747126436,0.980267558528428,0.9583333333333333,0.9751768346595932,0.00027741157272426,3.971226275187876e-06,0.042863987467001693,0.003720627152770861
0.0039043426513671875,0.00034461021423339846,0.9225962415617588,0.9813822331498802,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.8455313159746661,0.9766472433886151,0.9725545390570022,0.9801882563872704,0.9553131597466572,0.9776109367996414,0.9066091954022988,0.9905239687848382,0.9330357142857142,0.9819407603890362,0.0003008847758051217,4.873546361408704e-06,0.04458742212608957,0.004938657060509505
0.003696441650390625,0.00034193992614746095,0.9295763346771482,0.9788163551055558,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",6,0.8486980999296274,0.9756835499775885,0.962350457424349,0.9853428955625277,0.9553131597466572,0.9776109367996414,0.9238505747126436,0.980267558528428,0.9583333333333333,0.9751768346595932,0.00024388405050827748,1.6885691842675947e-06,0.042863987467001693,0.003720627152770861
0.0036812305450439455,0.00034270286560058596,0.9225962415617588,0.9813822331498802,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.8455313159746661,0.9766472433886151,0.9725545390570022,0.9801882563872704,0.9553131597466572,0.9776109367996414,0.9066091954022988,0.9905239687848382,0.9330357142857142,0.9819407603890362,0.00017814500938898356,5.270291091784706e-06,0.04458742212608957,0.004938657060509505
0.003935575485229492,0.00047016143798828125,0.9295763346771482,0.9788163551055558,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",6,0.8486980999296274,0.9756835499775885,0.962350457424349,0.9853428955625277,0.9553131597466572,0.9776109367996414,0.9238505747126436,0.980267558528428,0.9583333333333333,0.9751768346595932,0.0004400155271389912,0.00017586598665654142,0.042863987467001693,0.003720627152770861
0.0042416095733642575,0.00040998458862304685,0.9225962415617588,0.9813822331498802,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.8455313159746661,0.9766472433886151,0.9725545390570022,0.9801882563872704,0.9553131597466572,0.9776109367996414,0.9066091954022988,0.9905239687848382,0.9330357142857142,0.9819407603890362,0.0004602455025674661,1.7512067795974683e-05,0.04458742212608957,0.004938657060509505
0.0036899089813232423,0.0004268646240234375,0.9295763346771482,0.9788163551055558,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",6,0.8486980999296274,0.9756835499775885,0.962350457424349,0.9853428955625277,0.9553131597466572,0.9776109367996414,0.9238505747126436,0.980267558528428,0.9583333333333333,0.9751768346595932,0.0001811115534945578,5.6941145423484265e-05,0.042863987467001693,0.003720627152770861
0.0038575649261474608,0.0003910064697265625,0.894732543289079,0.9832248269204017,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",27,0.8455313159746661,0.9748767368892872,0.9035890218156231,0.9843792021515014,0.9208304011259677,0.9861497086508291,0.9066091954022988,0.9905239687848382,0.8973214285714284,0.9801945181255526,0.00036401779263738125,5.251707039740893e-06,0.025891529964225318,0.005329884911103922
