mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.008390283584594727,0.00047626495361328123,0.2121343870792548,0.21606544665811422,relu,10.0,"(9,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (9,)}",234,0.09957776213933854,0.12577319587628866,0.15833919774806474,0.11788435679067683,0.10661505981703026,0.14043030031376064,0.5779454022988509,0.5740245261984392,0.12053571428571423,0.12221485411140581,0.005416980144565315,4.11271979843355e-05,0.18344965988785805,0.1791399054750575
0.00672760009765625,0.0005647182464599609,0.4580538644220051,0.45204364312689005,relu,10.0,"(4,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (4,)}",221,0.6038001407459539,0.5174585387718511,0.3771991555242787,0.42162707306140745,0.4838142153413089,0.41647243388614963,0.35272988505747127,0.4277591973244147,0.4717261904761903,0.47690097259062764,0.002296974049147166,0.00016720617067646722,0.08931171091526217,0.03918471224761068
0.011871337890625,0.0006206512451171875,0.808170845857723,0.8148348426896781,relu,10.0,"(18,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (18,)}",13,0.8047149894440541,0.8444195428059166,0.8698099929627026,0.825414612281488,0.8078817733990147,0.8349170775437023,0.7158764367816094,0.7633221850613154,0.8422619047619044,0.806100795755968,0.0016390206007193665,9.966859360328389e-05,0.051877492830519706,0.028706513665343936
0.01299300193786621,0.0005749225616455078,0.7177222120693596,0.7394765404767878,relu,10.0,"(9, 9)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (9, 9)}",50,0.6769880365939484,0.7160914388166741,0.793103448275862,0.7283281039892425,0.7797325826882475,0.7768041237113402,0.6892959770114946,0.7318840579710145,0.6473214285714282,0.7442749778956673,0.00351814077340061,7.883397475671795e-05,0.058213584063638815,0.020713135340486223
0.00635223388671875,0.0005913734436035156,0.5,0.5,relu,10.0,"(4, 4)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (4, 4)}",77,0.5000000000000002,0.5,0.5,0.5,0.5,0.5,0.5000000000000001,0.5,0.49999999999999983,0.4999999999999999,0.0010287579118207102,0.00010289518321278038,1.3355149710515433e-16,4.965068306494546e-17
0.010355997085571288,0.0006439208984375,0.5734480061292985,0.5841799738512979,relu,10.0,"(18, 18)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (18, 18)}",72,0.5862068965517245,0.5270506499327655,0.5242786769880364,0.5513670999551771,0.5242786769880364,0.5513670999551771,0.6724137931034486,0.7488294314381271,0.5610119047619044,0.542285587975243,0.0037587715032688053,0.00014383003857225364,0.05464842109637136,0.08280303435213339
0.012168455123901366,0.0005031585693359375,0.5658023701327631,0.5660194902548726,relu,10.0,"(9, 9, 9)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (9, 9, 9)}",74,0.5862068965517244,0.5869565217391305,0.5862068965517241,0.5869565217391305,0.5689655172413791,0.5347826086956522,0.5862068965517244,0.5826086956521739,0.4999999999999996,0.5387931034482757,0.004182842631693763,3.093148224625775e-05,0.03321160288986699,0.023953869075982945
0.008098554611206055,0.0006419658660888672,0.4896322602818193,0.4913118440779611,relu,10.0,"(4, 4, 4)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (4, 4, 4)}",183,0.5000000000000002,0.4869565217391305,0.5,0.4869565217391305,0.5,0.491304347826087,0.46551724137931055,0.49565217391304345,0.482142857142857,0.4956896551724137,0.001413570042236591,0.00017530265562762073,0.013846120262043524,0.0038972147644194288
0.01393437385559082,0.0008382320404052735,0.46538358727612944,0.4644377811094452,relu,10.0,"(18, 18, 18)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (18, 18, 18)}",220,0.44827586206896575,0.4608695652173913,0.4827586206896552,0.46521739130434786,0.4482758620689655,0.47391304347826085,0.44827586206896564,0.4739130434782609,0.49999999999999983,0.44827586206896536,0.0025092641152332025,8.876185053629638e-05,0.02173431066062918,0.009530044886516707
0.011240386962890625,0.0006465911865234375,0.21899529770921114,0.21400359098801114,relu,3.16227766017,"(9,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (9,)}",233,0.09957776213933854,0.12577319587628866,0.15833919774806474,0.11530703720304795,0.10661505981703026,0.124002689376961,0.6124281609195404,0.5827201783723522,0.12053571428571423,0.12221485411140581,0.008600059883655758,0.00013100383910741832,0.19713670918735537,0.18439244489466364
0.009593009948730469,0.0006068229675292968,0.4752870608280736,0.46482413432459024,relu,3.16227766017,"(4,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (4,)}",196,0.689303307529909,0.5770506499327657,0.3771991555242787,0.42162707306140745,0.4838142153413089,0.41647243388614963,0.35272988505747127,0.4277591973244147,0.4717261904761903,0.4812113174182138,0.005553813865037843,0.00011828093488416348,0.11906485596286347,0.060730574124055234
