mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0035369873046875,0.0006589412689208985,0.9504232114747352,0.9674597653591919,100,{'SVM__n_iter': 100},8,0.979591836734694,0.9611833258628417,0.9725545390570022,0.9637606454504707,0.9591836734693877,0.9698789780367548,0.9170258620689654,0.9707915273132666,0.9226190476190477,0.971684350132626,0.0003931471446663494,0.00010253101112198839,0.025678957456849383,0.004192314994278792
0.0046523094177246095,0.0005556583404541015,0.9482775100149656,0.9612414312272888,200,{'SVM__n_iter': 200},9,0.9521463757916959,0.9724562976243838,0.9693877551020409,0.9544150605109815,0.941942294159043,0.9627969520394442,0.9723419540229883,0.9595317725752508,0.9047619047619048,0.9570070733863839,0.00023897727355765428,0.00010715758512669299,0.02424907662890263,0.006255316610524496
0.0060155391693115234,0.0005120277404785156,0.9517652077760623,0.9692126359500662,300,{'SVM__n_iter': 300},7,0.979591836734694,0.9603765127745406,0.989795918367347,0.9629538323621694,0.9489795918367349,0.964724338861497,0.93426724137931,0.9777034559643256,0.9047619047619048,0.9803050397877984,0.0012651851945940406,9.699594513590735e-05,0.030723397401278895,0.008155120517736978
0.006846761703491211,0.0004884243011474609,0.946995957342217,0.9591686175151916,400,{'SVM__n_iter': 400},11,0.979591836734694,0.9552218735992828,0.9553131597466572,0.9257507844016135,0.9317382125263899,0.9706857911250559,0.9274425287356322,0.9690078037904124,0.9404761904761906,0.9751768346595932,0.0003526741456033026,7.128286508262808e-05,0.018958599133226374,0.01798914254880026
0.00808401107788086,0.0004741668701171875,0.9620993445493674,0.9615633380771946,500,{'SVM__n_iter': 500},2,0.9897959183673469,0.9637606454504707,0.9553131597466572,0.9437920215150157,0.9521463757916961,0.9586060062752129,0.9723419540229883,0.9682274247491639,0.9404761904761906,0.9734305923961097,0.000265423402097697,4.804862584848206e-05,0.017220673695214156,0.010145298809539006
0.009446477890014649,0.0005712032318115235,0.9218589846167462,0.9406646062377216,600,{'SVM__n_iter': 600},25,0.9725545390570022,0.9524876736889286,0.8416608022519353,0.8663379650380995,0.9451090781140044,0.950717167189601,0.9274425287356322,0.9620958751393532,0.9226190476190477,0.9716843501326259,0.0007555971087847379,4.9615221375432456e-05,0.043927003945666634,0.0379125633417312
0.010791015625,0.0005888462066650391,0.9469546071569499,0.9576164158206385,700,{'SVM__n_iter': 700},13,0.8870513722730472,0.9534513670999551,0.9553131597466574,0.9602196324518152,0.962350457424349,0.9404078888390857,0.9723419540229883,0.9623188405797101,0.9583333333333333,0.9716843501326259,0.00028038525252516367,4.925254677187538e-05,0.030639227345143866,0.010394973236814554
0.012175178527832032,0.0006410598754882813,0.9309152055636476,0.9578313618765556,800,{'SVM__n_iter': 800},22,0.8800140745953556,0.9384805020170326,0.9725545390570022,0.9471761541909457,0.9591836734693877,0.9619901389511428,0.9551005747126436,0.9690078037904124,0.8869047619047619,0.9725022104332449,0.00044954306056913917,0.0001747383673117187,0.03910851315707681,0.013003317316051467
0.013930797576904297,0.0006197452545166016,0.9477155793708378,0.9667612684537984,900,{'SVM__n_iter': 900},10,0.9489795918367347,0.967301658449126,0.9623504574243492,0.9524876736889286,0.9521463757916961,0.9706857911250559,0.93426724137931,0.9777034559643256,0.9404761904761906,0.9656277630415561,0.0011794472309037706,0.00018294363270897747,0.009681096399326095,0.008251614497673811
0.015503978729248047,0.0006977081298828125,0.9435177494770518,0.9675350191676564,1000,{'SVM__n_iter': 1000},16,0.9349049964813512,0.9602196324518154,0.989795918367347,0.9706857911250559,0.9693877551020409,0.9663379650380994,0.8997844827586204,0.9618729096989966,0.9226190476190477,0.9785587975243147,0.0009894042940330207,0.0001020943433042283,0.03236986540877793,0.006609967597662531
0.016721153259277345,0.0006252765655517578,0.960790951192916,0.9697439602958235,1100,{'SVM__n_iter': 1100},3,0.9693877551020408,0.967301658449126,0.989795918367347,0.9611833258628415,0.9521463757916961,0.9732631107126849,0.9515086206896551,0.9692307692307692,0.9404761904761906,0.9777409372236959,0.001103247227474514,5.659287729015733e-05,0.0172541987323741,0.005582987102191989
0.017634010314941405,0.0005697727203369141,0.9442246046596489,0.964861643325839,1200,{'SVM__n_iter': 1200},14,0.9521463757916961,0.9629538323621694,0.9553131597466574,0.9576423128641863,0.9521463757916961,0.9671447781264007,0.9030172413793104,0.9623188405797101,0.9583333333333333,0.9742484526967284,0.0007600618812932464,4.4523263689488756e-05,0.020664549993680875,0.005577619841407598
0.01844024658203125,0.0005775928497314453,0.9379256246738203,0.963971798795289,1300,{'SVM__n_iter': 1300},19,0.9623504574243492,0.9516808606006275,0.9553131597466572,0.9619901389511428,0.941942294159043,0.9602196324518154,0.9066091954022988,0.9656633221850612,0.9226190476190477,0.9803050397877984,0.0005397810110338182,0.00011862320834140461,0.020629249340966375,0.009367058261904013
0.019180107116699218,0.000542306900024414,0.9537773309002829,0.9622970572604261,1400,{'SVM__n_iter': 1400},6,0.979591836734694,0.9706857911250559,0.979591836734694,0.967301658449126,0.9489795918367346,0.9647243388614972,0.9723419540229883,0.9690078037904124,0.8869047619047619,0.9397656940760388,0.0003825783831701835,4.586087810182469e-05,0.03492913557047649,0.01143682675235493
