param_Boost__n_estimators,test acc,train acc
1,0.9296466973886331,0.9264403292181073
2,0.9296466973886331,0.9264403292181073
5,0.966282642089094,0.9710648148148149
10,0.966282642089094,0.9710648148148149
20,0.966282642089094,0.9710648148148149
30,0.966282642089094,0.9710648148148149
40,0.966282642089094,0.9710648148148149
50,0.966282642089094,0.9710648148148149
60,0.966282642089094,0.9710648148148149
70,0.966282642089094,0.9710648148148149
80,0.966282642089094,0.9710648148148149
90,0.966282642089094,0.9710648148148149
100,0.966282642089094,0.9710648148148149
