mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.003089284896850586,0.0006948471069335938,0.377747509193049,0.3744999050303274,1,{'MLP__max_iter': 1},22,0.38202056021204966,0.3702673272565746,0.39266781288057895,0.3669657701915767,0.36274088401747984,0.38632952073812293,0.40312262242758257,0.37377115330247807,0.3479997090656549,0.3751657536628842,0.00039465958518475406,3.0080299973227068e-05,0.019927099247903785,0.006566462421361856
0.004950141906738282,0.0008461952209472656,0.38698869097385247,0.3840338978944717,2,{'MLP__max_iter': 2},21,0.3996973278888173,0.37736616231239883,0.3939931227165271,0.38621812277726253,0.38637259115982525,0.3887872382496039,0.3980195401658964,0.3862763164532653,0.3565259623709272,0.38152164967982766,0.0010218801042895923,0.00023821409039158982,0.015824237271750655,0.004078323497408598
0.007904815673828124,0.0008488178253173828,0.3924097569483354,0.40309925767098215,4,{'MLP__max_iter': 4},20,0.4001808868830146,0.40086556215588476,0.3958019915466725,0.402636789733564,0.40501647682498754,0.3940243348845499,0.3752945870214699,0.4102724595311875,0.3854891802924829,0.4076971420497246,0.0005269585966296564,0.00018106577457045476,0.010685355073525154,0.005659555839720126
0.014513111114501953,0.0007727622985839843,0.4046942304055923,0.4089280267752523,8,{'MLP__max_iter': 8},19,0.3862472240131815,0.4079323702979617,0.40002865534780435,0.40938332873816746,0.42871086754065485,0.4014183745366541,0.3847654437825901,0.4149837091013563,0.42380335653769363,0.41092235120212167,0.0013402758271800702,0.00012258679309060368,0.0184404887331228,0.0044326544371783485
0.02615499496459961,0.0007646560668945312,0.43184349766694957,0.44550665406117346,16,{'MLP__max_iter': 16},18,0.425093129880364,0.4411888390383014,0.4118131671323161,0.4490298630083576,0.43317035604269655,0.446179467684844,0.3978455714524299,0.45406831155276883,0.4918362415036614,0.4370667890215953,0.0010928167578158367,8.97515206358489e-05,0.032140796131412575,0.005933675200398817
0.050538158416748045,0.0007894039154052734,0.463349951313316,0.46944276834493737,32,{'MLP__max_iter': 32},17,0.4789651837524178,0.47153364357665434,0.45257539938391006,0.47479621135535116,0.4584855648685436,0.4638722488184854,0.4130782720035628,0.476376874272618,0.5138921149753762,0.4606348637015782,0.0007544508807317484,7.113461137088258e-05,0.03295491952206706,0.006159915718867303
0.10165271759033204,0.0012218475341796875,0.48348355669353277,0.504528281384065,64,{'MLP__max_iter': 64},16,0.5192438570098145,0.49216593840249756,0.46646428827279895,0.49616373272287245,0.48986317071423463,0.5007825706750438,0.4253488652600715,0.5258992561718531,0.516413154924885,0.5076299089480582,0.005942040643642497,0.0002993934184879867,0.03479664490682723,0.011858854952659122
0.19893412590026854,0.0008778572082519531,0.5068388899717388,0.538602862823023,128,{'MLP__max_iter': 128},15,0.5680027222580415,0.5141350087586647,0.48944229529335914,0.5362683911071008,0.5293627767032023,0.5418619612168,0.449890051773089,0.5617017376940859,0.4968008953269845,0.5390472153384636,0.00533409977106878,7.011468444003484e-05,0.03974992629201288,0.015155875642895047
0.3929478168487549,0.0008364677429199219,0.5194458824649744,0.5696519067751963,256,{'MLP__max_iter': 256},14,0.574969553692958,0.5453292227485775,0.5028476251880508,0.5693814349728328,0.5122949351672756,0.5710008828288399,0.4683400137319303,0.5931195290353588,0.5385605319406026,0.5694284642903724,0.009473822437710246,0.0001152112584231486,0.03574079177511524,0.015127888621599592
0.45885891914367677,0.000615072250366211,0.5261121090600707,0.5727330414753279,512,{'MLP__max_iter': 512},1,0.5814080521527331,0.5402731478000294,0.4962389856006878,0.5707808718561407,0.5122949351672756,0.5710008828288399,0.4795435988791774,0.605449990433252,0.561132579250281,0.5761603144583776,0.059977467689130606,4.496956158772405e-06,0.0388167126561223,0.02070072939017422
0.4562520980834961,0.00064239501953125,0.5261121090600707,0.5727330414753279,1024,{'MLP__max_iter': 1024},1,0.5814080521527331,0.5402731478000294,0.4962389856006878,0.5707808718561407,0.5122949351672756,0.5710008828288399,0.4795435988791774,0.605449990433252,0.561132579250281,0.5761603144583776,0.06086917190213455,5.9704810854585214e-05,0.0388167126561223,0.02070072939017422
0.4577949523925781,0.0006825923919677734,0.5261121090600707,0.5727330414753279,2048,{'MLP__max_iter': 2048},1,0.5814080521527331,0.5402731478000294,0.4962389856006878,0.5707808718561407,0.5122949351672756,0.5710008828288399,0.4795435988791774,0.605449990433252,0.561132579250281,0.5761603144583776,0.06060104455564693,9.558378949674112e-05,0.0388167126561223,0.02070072939017422
0.4544583797454834,0.0006100177764892578,0.5261121090600707,0.5727330414753279,2100,{'MLP__max_iter': 2100},1,0.5814080521527331,0.5402731478000294,0.4962389856006878,0.5707808718561407,0.5122949351672756,0.5710008828288399,0.4795435988791774,0.605449990433252,0.561132579250281,0.5761603144583776,0.058332202802746064,2.887129879612084e-06,0.0388167126561223,0.02070072939017422
0.4567352294921875,0.0006157875061035157,0.5261121090600707,0.5727330414753279,2200,{'MLP__max_iter': 2200},1,0.5814080521527331,0.5402731478000294,0.4962389856006878,0.5707808718561407,0.5122949351672756,0.5710008828288399,0.4795435988791774,0.605449990433252,0.561132579250281,0.5761603144583776,0.06144075683367391,4.021860672752294e-06,0.0388167126561223,0.02070072939017422
