mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.004517889022827149,0.0007434368133544921,0.4524918200140344,0.8723021214442784,-1,1,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 1}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.00026538674371937146,6.521347426330093e-06,0.04258488400963886,0.00414773050188458
0.008295392990112305,0.0010740280151367188,0.4524918200140344,0.8723021214442784,-1,2,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 2}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.0005465034934697003,0.0002387292459142291,0.04258488400963886,0.00414773050188458
0.018902587890625,0.0011996746063232422,0.4524918200140344,0.8723021214442784,-1,5,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 5}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.0020339746314851095,0.0001709239006231644,0.04258488400963886,0.00414773050188458
0.023644351959228517,0.0013370037078857422,0.4524918200140344,0.8723021214442784,-1,10,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 10}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.004156788067671715,9.18860873463062e-05,0.04258488400963886,0.00414773050188458
0.023657941818237306,0.0013415813446044922,0.4524918200140344,0.8723021214442784,-1,20,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 20}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.005458449163945963,0.00023797752592909045,0.04258488400963886,0.00414773050188458
0.0231320858001709,0.001336812973022461,0.4524918200140344,0.8723021214442784,-1,30,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 30}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.0042390451789016985,0.00022232043514038935,0.04258488400963886,0.00414773050188458
0.02243180274963379,0.0013617515563964845,0.4524918200140344,0.8723021214442784,-1,45,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 45}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.004666444030813434,0.00042622037039759464,0.04258488400963886,0.00414773050188458
0.022876787185668945,0.0012215614318847657,0.4524918200140344,0.8723021214442784,-1,60,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 60}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.00511274241042051,0.00012541203438502346,0.04258488400963886,0.00414773050188458
0.023063468933105468,0.0014795303344726563,0.4524918200140344,0.8723021214442784,-1,80,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 80}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.005095195305716248,0.0005177443012713592,0.04258488400963886,0.00414773050188458
0.023307323455810547,0.001322174072265625,0.4524918200140344,0.8723021214442784,-1,100,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 100}",122,0.47439823769611006,0.8734184970744111,0.4637688946199585,0.8663210544930975,0.46478078658929733,0.8790120671841102,0.3691801666388315,0.8703134193330272,0.49007069235335393,0.8724455691367456,0.0035476727671494503,0.00022541775508448398,0.04258488400963886,0.00414773050188458
0.053169965744018555,0.0010030269622802734,0.48730075220206914,0.781524021213898,-0.001,1,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 1}",37,0.538371301669174,0.7914477000498507,0.47483702270936323,0.7768977338869812,0.5059638942617667,0.7869221578898998,0.4424720258308744,0.817279272085585,0.47423705987381903,0.7350732421571733,0.002552309697429412,0.00015907733554214944,0.032544821451634794,0.026777358553513278
0.1130185604095459,0.0011423110961914062,0.4834361317979269,0.7916722601103434,-0.001,2,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 2}",85,0.538371301669174,0.7914477000498507,0.47483702270936323,0.7768977338869812,0.5059638942617667,0.7869221578898998,0.4424720258308744,0.817279272085585,0.4547245156764342,0.7858144366394009,0.011481671590000894,0.00018997251029862413,0.03493724535138683,0.01364502606495965
