mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0021532535552978515,0.0034447669982910155,0.43745853605344714,0.9632903855422406,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",82,0.43681495809155385,0.9654610622352557,0.43128089404685155,0.9600638310315729,0.42096496883730933,0.9611416063028966,0.42897437324871485,0.9613418977359676,0.4696419395935836,0.9684435304055102,0.0002990852354361156,0.00020260650933097597,0.016789699697053444,0.0031651619310355066
0.0018919944763183595,0.003468036651611328,0.43745853605344714,0.9632903855422406,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",82,0.43681495809155385,0.9654610622352557,0.43128089404685155,0.9600638310315729,0.42096496883730933,0.9611416063028966,0.42897437324871485,0.9613418977359676,0.4696419395935836,0.9684435304055102,0.00011986586005106288,0.0001718967863393555,0.016789699697053444,0.0031651619310355066
0.0019419670104980468,0.003939676284790039,0.4660434209854192,0.6523431633297648,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",19,0.5083637796403754,0.6349266026685382,0.449862096138692,0.6586752554494489,0.43304498889605286,0.6503218008594353,0.4325047783406631,0.6647797886439686,0.5067067405264505,0.6530123690274335,0.0001894669951114361,0.00012293130133331933,0.034391359384304834,0.010026319041268297
0.0018642425537109375,0.004230594635009766,0.45023219408770176,0.9643471424503998,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",55,0.47265205243928654,0.9653984008822719,0.45623791102514516,0.9605609444319122,0.4326867970484992,0.9648998950074218,0.42501716491306196,0.96048058075796,0.4645306454753844,0.9703958911724334,0.00017755173573362265,0.00044154283029504844,0.018362141794892987,0.003668341192932375
0.002041006088256836,0.004727697372436524,0.45435989645991,0.6019064661241772,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",43,0.4836574969553693,0.6014222734652842,0.41909341643384196,0.610080679973153,0.4099595243212265,0.6226045957228752,0.434488021674182,0.5895051863488019,0.5254391583550949,0.5859195951107715,0.00023147026363675528,0.000675840610685137,0.04356472429483233,0.013452409214193673
0.0020113468170166017,0.0046558380126953125,0.4423043726682543,0.9643471424503998,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",72,0.48106956085679486,0.9653984008822719,0.4369403252381976,0.9605609444319122,0.4079178307901713,0.9648998950074218,0.42032232923231067,0.96048058075796,0.46539406353161455,0.9703958911724334,0.00011763770809600512,0.0002571019997560602,0.027334754081032198,0.003668341192932375
0.0020077705383300783,0.0046007633209228516,0.46620953237366985,0.5757281071126121,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",18,0.5138351601117559,0.5603595926176571,0.4711566014757505,0.5739250793014233,0.42330217064259634,0.5881102171424752,0.42847798251962355,0.564828037329233,0.49431856841532296,0.591417609172272,0.00011062636457631192,0.00011899824534656595,0.03564544256053367,0.012310408539311814
0.0021129131317138674,0.005060672760009766,0.4509592887052334,0.9643471424503998,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",53,0.49622107600831006,0.9653984008822719,0.46435991116842185,0.9605609444319122,0.4062343291066696,0.9648998950074218,0.41448161962552643,0.96048058075796,0.4734733572181046,0.9703958911724334,0.00018114813315907205,0.0004283543670848965,0.03485736083601576,0.003668341192932375
0.0025126457214355467,0.006340932846069336,0.45282422569670416,0.5607567474286015,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",48,0.4694730997922487,0.5455575885683412,0.4649061537359411,0.5704035112637263,0.42281861164839896,0.5706221297619147,0.41835068381302287,0.5609628517328182,0.4887603146783417,0.5562376558162068,0.00038550128239518943,0.0009365906674208793,0.027537030485448154,0.009400690603545916
0.0019070625305175782,0.00496363639831543,0.44847905333287386,0.9643471424503998,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",60,0.4764399312271653,0.9653984008822719,0.43418224801203525,0.9605609444319122,0.4075596389426177,0.9648998950074218,0.42526767986045366,0.96048058075796,0.4994603637148563,0.9703958911724334,0.00024433162973584076,0.0003528870430066316,0.03401039825496785,0.003668341192932375
0.002130460739135742,0.005187463760375976,0.4603281185201057,0.545236614339027,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",29,0.4727774195859302,0.5369618434134563,0.43670750053728785,0.5504577063716849,0.4578766387277026,0.5427531449036825,0.42370428102210084,0.5597064430158645,0.5109546165884196,0.5363039339904475,0.0002574764088003312,0.00035900722255741174,0.030316236805474777,0.00884384505141706
0.002227592468261719,0.005489158630371094,0.43961771622407253,0.9643471424503998,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",77,0.4576259044344151,0.9653984008822719,0.42744824127802855,0.9605609444319122,0.3924081237911026,0.9648998950074218,0.4133264673681083,0.96048058075796,0.5080171182014627,0.9703958911724334,0.0003348164117264209,0.0005801822806799858,0.04008785164829243,0.003668341192932375
0.0020337581634521486,0.005351400375366211,0.4657734475948598,0.5366103253848931,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",20,0.4425997564295437,0.5360344553892941,0.4819739952718677,0.5335962325209637,0.45444695178737743,0.5497461518966895,0.41720480988698977,0.5410350494042508,0.5331489184984972,0.5226397377132671,0.00027040553612514524,0.0004214365628885006,0.03943377787018101,0.008907545371540971
0.00230259895324707,0.005169010162353516,0.45474377819312106,0.9643471424503998,manhattan,19,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'distance'}",41,0.45762590443441503,0.9653984008822719,0.46261372591159833,0.9605609444319122,0.4070760799484205,0.9648998950074218,0.43391972387685784,0.96048058075796,0.5131284123196619,0.9703958911724334,0.00039128905063934787,0.0002807433427493206,0.03510279244397232,0.003668341192932375
0.0018942832946777343,0.005525350570678711,0.46055494800513286,0.5378506798967567,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",28,0.44476681710724264,0.5322316075004248,0.47782792463643536,0.5267132310143063,0.4322659216276238,0.5428589729664999,0.4382874983762919,0.5615316543102292,0.5101299115700367,0.5259179336923239,0.00010931094306947094,0.0007004953547273664,0.02926322389409774,0.013295703989092102
