param_SVM__n_iter,test acc,train acc
100,0.966282642089094,0.9704218106995885
200,0.966282642089094,0.9655349794238686
300,0.9776497695852535,0.9421296296296297
400,0.9904761904761905,0.9669495884773665
500,0.974347158218126,0.9710648148148149
600,0.966282642089094,0.932227366255144
700,0.8680491551459295,0.933641975308642
800,0.9633640552995392,0.9567901234567903
900,0.9662826420890938,0.9607767489711936
1000,0.9582181259600615,0.9690072016460906
1100,0.974347158218126,0.9710648148148149
1200,0.961520737327189,0.9447016460905351
1300,0.9662826420890938,0.9601337448559673
1400,0.9387864823348695,0.938400205761317
1500,0.9824116743471585,0.9690072016460906
1600,0.974347158218126,0.9669495884773665
1700,0.9420890937019971,0.9565329218106996
1800,0.961520737327189,0.9655349794238683
1900,0.974347158218126,0.955761316872428
2000,0.9501536098310293,0.933641975308642
2100,0.974347158218126,0.9634773662551441
2200,0.9824116743471585,0.9697788065843621
2300,0.966282642089094,0.9279835390946503
2400,0.9131336405529956,0.9620627572016461
2500,0.9824116743471585,0.9565329218106998
