param_MLP__max_iter,test acc,train acc
1,0.5284946236559142,0.5043724279835392
2,0.6193548387096777,0.5586419753086421
4,0.7369431643625194,0.6894290123456792
8,0.8944700460829493,0.8544238683127572
16,0.9534562211981568,0.9247685185185187
32,0.9695852534562215,0.9558899176954733
64,0.974347158218126,0.9655349794238683
128,0.966282642089094,0.9710648148148149
256,0.974347158218126,0.969650205761317
512,0.974347158218126,0.9661779835390948
1024,0.974347158218126,0.9661779835390948
2048,0.974347158218126,0.9661779835390948
2100,0.974347158218126,0.9661779835390948
2200,0.974347158218126,0.9661779835390948
2300,0.974347158218126,0.9661779835390948
2400,0.974347158218126,0.9661779835390948
2500,0.974347158218126,0.9661779835390948
2600,0.974347158218126,0.9661779835390948
2700,0.974347158218126,0.9661779835390948
2800,0.974347158218126,0.9661779835390948
2900,0.974347158218126,0.9661779835390948
3000,0.974347158218126,0.9661779835390948
