,test,train
0.1,0.00024900000000016576,0.10038400000000003
0.2,0.0004089999999994376,0.08896800000000127
0.3,0.00021699999999924557,0.07584999999999908
0.4,0.00023799999999951638,0.06344299999999947
0.5,0.0002729999999999677,0.04823899999999881
0.6,0.0002760000000012752,0.03465900000000133
0.7,0.00027899999999903,0.030262999999999707
0.8,0.00029600000000051807,0.018466000000000093
0.9,0.0003370000000000317,0.012917999999999097
