mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
4.515024948120117,0.0038489341735839845,0.4715812042235492,0.5347127816681472,0.1,0.2,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 0.20000000000000001, 'SVM__n_iter': 1214}",105,0.47583100508632425,0.5249044066248367,0.4554588437567162,0.5358534337028961,0.4814277527043485,0.5387706678029259,0.4204847000315462,0.538079859457191,0.5249839868797996,0.5359555407528865,0.06301132632218386,0.000486469810977612,0.034056171001693954,0.005036931822401724
4.554005575180054,0.003965902328491211,0.4977203918841618,0.5238749284535952,0.1,0.4,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 0.40000000000000002, 'SVM__n_iter': 1214}",61,0.48671108245576333,0.5143745143745143,0.47071781646249733,0.5243975459029222,0.5333655705996132,0.5189836050051104,0.47309515856668316,0.521669821048109,0.5248678477662578,0.5399491559373195,0.10042369545655054,0.0005062700136164372,0.02632301680982104,0.008691367321869264
4.531226587295532,0.003585958480834961,0.5110006726466743,0.5214256079287282,0.1,0.6,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 0.60000000000000009, 'SVM__n_iter': 1214}",30,0.5164051866179525,0.5135989060720244,0.4701715738949782,0.524552110573616,0.5370907658141701,0.5154662143909456,0.49137579097775036,0.5282900495717331,0.540193518264342,0.5252207590353215,0.07125185908042968,0.0002858995513989843,0.026891151300029417,0.0057977647946856415
4.5465939998626705,0.0033349037170410157,0.5101593777249507,0.5240478089766901,0.1,0.8,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 0.80000000000000004, 'SVM__n_iter': 1214}",34,0.5239809441937101,0.5216084194578818,0.4769055806289849,0.5220707209954523,0.5312611934952362,0.5202145524726169,0.49046883408487807,0.5265151271846634,0.5282523057719967,0.5298302247728359,0.08340550203147333,0.00014566236504537125,0.022183802933186163,0.0035798699729168745
4.52188401222229,0.0033532142639160155,0.5053705628801365,0.5248175670989073,0.1,1.0,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 1.0, 'SVM__n_iter': 1214}",46,0.5018625976072785,0.5259250904412195,0.4765473887814313,0.520277213825601,0.5203184325524752,0.5158338276617846,0.4921134183228486,0.5274866303082468,0.5363315994584867,0.5345650732576844,0.0688103076581268,0.0001528405987728814,0.02095650314326772,0.006398230455448606
4.557656574249267,0.0034132003784179688,0.5060095746398733,0.5173279351847062,0.1,1.2,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 1214}",42,0.5111218568665378,0.513487508111164,0.46728812952217214,0.5209024348809296,0.5102174224514651,0.5192676698053043,0.5025700977936126,0.5198019296536753,0.5392995990267778,0.5131801334724577,0.14791393078251477,0.00014475766185669003,0.023064786021815442,0.0033049479953689213
4.625057554244995,0.0033866405487060548,0.49883276705791135,0.5151498009580266,0.1,1.4,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 1.4000000000000001, 'SVM__n_iter': 1214}",60,0.49062432839028586,0.505973715651135,0.46644637868042127,0.525004664789611,0.5210974998209041,0.5216850055559733,0.49911159976989716,0.5158351576333403,0.5171522220110603,0.5072504611600738,0.06956413310901034,9.340661816235628e-05,0.019759663902070363,0.007574919997615355
4.6715819358825685,0.003786945343017578,0.4934221393929411,0.5095686686973655,0.1,1.6,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 1.6000000000000001, 'SVM__n_iter': 1214}",67,0.48599469876065615,0.5017224909698028,0.4669299376746185,0.520039100684262,0.513163550397593,0.5177972167219479,0.4921946037224664,0.5041618494511848,0.509042427143236,0.5041226856596297,0.13225674650949648,0.0005388043956312144,0.01670579313220694,0.007717433240731792
4.780834150314331,0.0034229278564453123,0.4904626671972363,0.5124336036138345,0.1,1.8,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 1.8, 'SVM__n_iter': 1214}",72,0.48978257754853494,0.5040534933008052,0.4669299376746185,0.5260420583001227,0.49927466150870414,0.5156806554656017,0.48371188925383646,0.5037240776121695,0.5128738447677571,0.5126677333904738,0.07197453834282776,0.00010251204881304066,0.015347357758916477,0.008268860785638526
4.6540083408355715,0.0035073280334472655,0.4885993014960003,0.5079404505601263,0.1,2.0,1214,"{'SVM__alpha': 0.10000000000000001, 'SVM__gamma_frac': 2.0, 'SVM__n_iter': 1214}",74,0.48346944623540367,0.5016152704324748,0.46446736872268796,0.5262578918492897,0.5096711798839458,0.5051911449760912,0.4799240104659576,0.4999472426540815,0.5056274679561629,0.5066907028886943,0.14041519096829483,0.0002649829780702251,0.016851340901385705,0.00947152028024118
4.7485260486602785,0.0036571979522705077,0.4764908723615806,0.5411055012975108,0.0316227766017,0.2,1214,"{'SVM__alpha': 0.031622776601683791, 'SVM__gamma_frac': 0.20000000000000001, 'SVM__n_iter': 1214}",96,0.46922236549896124,0.5437250921121889,0.4618973422164912,0.5311621870761655,0.4820993624185114,0.5515897881489279,0.43275529328805495,0.5358727745145728,0.536933411228658,0.543177664635699,0.17000850212166377,0.000346461544571876,0.034117583372164154,0.007033168773867998
