param_SVM__n_iter,test acc,train acc
1,0.4025676937441643,0.39861796468945165
4,0.5197821350762527,0.5008224931205091
7,0.48141715945637514,0.517882707762121
10,0.3544973544973545,0.3477600607441154
13,0.4571802054154996,0.47800728439289897
16,0.4759881730469966,0.5007740935020912
19,0.5096068056852371,0.5643933938462374
22,0.4131497043261749,0.4434159123490102
25,0.49179167963481685,0.5285914669679477
28,0.5198381574852162,0.5612524707063062
31,0.44604523290797804,0.4940773231284326
34,0.4288546529723,0.4474414643618144
37,0.4654901960784314,0.49737507850942425
40,0.5041778192758585,0.5567765573767418
43,0.4330459591243905,0.4525998969671618
46,0.45336860670194,0.4775517253740293
49,0.40555348065151986,0.4059547897498547
52,0.37123145554518105,0.37770972095367034
55,0.37543106131341425,0.435640550516576
58,0.4599211536466438,0.4959048934481081
61,0.5113766988276792,0.5397086690698438
64,0.3319846457101359,0.3484347151956906
67,0.4994439257184355,0.49925915904748175
70,0.3925044091710758,0.42446955993523094
73,0.36322958813154893,0.3839998871980306
