,0,1,2,3,4
50,0.7888888888888889,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554
100,0.7370899915895711,0.812753147235906,0.812753147235906,0.812753147235906,0.812753147235906
103,0.6754755062944718,0.7884150030248034,0.7884150030248034,0.7884150030248034,0.7884150030248034
206,0.6523840459878729,0.7057145186272111,0.7165367982361446,0.7165367982361446,0.7165367982361446
309,0.5880176055345485,0.6302414922019401,0.663067926225821,0.663067926225821,0.663067926225821
412,0.6202565311069217,0.6299707110153515,0.6395699165783538,0.6331065759637188,0.6331065759637188
515,0.5763032653020329,0.5809606826890185,0.6029949230586459,0.6030651340996169,0.6030651340996169
618,0.6169094730738567,0.6008682011617432,0.6201192805889478,0.626964394083494,0.6211116039717912
721,0.5248496933177875,0.5853220537564777,0.6143340095196109,0.6197029526723392,0.6048333467090282
