param_MLP__max_iter,test acc,train acc
1,0.3661323788774769,0.3759611265770816
2,0.37638966697790227,0.3910388593499807
4,0.3917169830895321,0.4109087915426341
8,0.4124214130096483,0.41361661228559454
16,0.41364871874675796,0.44897464994204517
32,0.4637981118373275,0.47291282630668635
64,0.4783629007158419,0.5140139515791539
128,0.5142857142857143,0.5464784894600159
256,0.5045928000829961,0.5678057717578131
512,0.4941778192758585,0.5691684526826779
1024,0.4941778192758585,0.5691684526826779
2048,0.4941778192758585,0.5691684526826779
2100,0.4941778192758585,0.5691684526826779
2200,0.4941778192758585,0.5691684526826779
2300,0.4941778192758585,0.5691684526826779
2400,0.4941778192758585,0.5691684526826779
2500,0.4941778192758585,0.5691684526826779
2600,0.4941778192758585,0.5691684526826779
2700,0.4941778192758585,0.5691684526826779
2800,0.4941778192758585,0.5691684526826779
2900,0.4941778192758585,0.5691684526826779
3000,0.4941778192758585,0.5691684526826779
