mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.05072941780090332,0.0007504463195800781,0.3859220013117625,0.39207733536924694,relu,10.0,"(12,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (12,)}",45,0.39639300809513583,0.3867096662795587,0.4055448098001291,0.4029974406318492,0.35895300522960105,0.37426372910243877,0.38319740577854466,0.39082710866546366,0.38548918029248286,0.4055887321669244,0.06461591116992806,0.0001314319779822984,0.015719595401445685,0.011397421189608797
0.008139657974243163,0.000518798828125,0.32245258342547567,0.3221934819578716,relu,10.0,"(6,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6,)}",207,0.32124435847840105,0.32271850013785497,0.3288201160541586,0.32155439144686454,0.30327208252740173,0.3272523971448703,0.3471673254281948,0.3153556682968448,0.31184407796101954,0.32408645276292336,0.0018451233855316862,1.9553812227423557e-05,0.015041195310586996,0.0039144792187855975
0.009624910354614259,0.0005321979522705078,0.3746192900756314,0.3826469918547525,relu,10.0,"(24,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (24,)}",49,0.38100866824271085,0.38880812536726517,0.3725911598252024,0.3726623834150716,0.36977039902571823,0.40229145605489697,0.36167167696561436,0.37863100464726485,0.3881251862331746,0.37084198978926386,0.002016534326067983,5.477196613047594e-06,0.009124107089796068,0.01165369617400769
0.024955081939697265,0.0007503032684326172,0.362143268889082,0.36460233941885345,relu,10.0,"(12, 12)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (12, 12)}",65,0.36458557203238057,0.3801608586554823,0.37552833297514154,0.3774441408850011,0.39354538290708513,0.34039735652638886,0.3204550093711146,0.3761438802089209,0.35611185017819735,0.34886546081847375,0.015231746451827191,0.0002612994534103677,0.02425861669496884,0.016575385934866713
0.01206202507019043,0.0005290031433105469,0.3061424867105257,0.30922074482060824,relu,10.0,"(6, 6)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6, 6)}",234,0.34461637653127014,0.2967307483436516,0.23550218497027017,0.3263862779991812,0.32753062540296585,0.3091223790148521,0.34404516691718146,0.2979325968326447,0.2789907862969924,0.31593172191271185,0.003032761167956262,9.876861936473764e-06,0.0427108217212878,0.011163554233842592
0.027596282958984374,0.0007305622100830078,0.3648966599080451,0.36731743985402143,relu,10.0,"(24, 24)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (24, 24)}",64,0.3572426391575328,0.37685094674341985,0.34004943047496244,0.3765265001824142,0.3984078372376246,0.358725106036934,0.35359488949507306,0.37233167314468135,0.3752290521405964,0.35215297316265753,0.009245772900273631,0.00016269690825537986,0.020201646023396427,0.01004615679444727
0.017385339736938475,0.0005740642547607422,0.34733391423853904,0.3502343350303502,relu,10.0,"(12, 12, 12)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (12, 12, 12)}",67,0.35638297872340424,0.35244922341696533,0.3573500967117989,0.34528076463560337,0.3601708575112831,0.3453879851729314,0.31620553359683773,0.35789773044675016,0.3462435448942196,0.3501559714795009,0.0025464018107027703,1.3891764945308022e-05,0.016211913631515196,0.004725769086944044
0.013418436050415039,0.0007141590118408203,0.33333333333333337,0.33333333333333337,relu,10.0,"(6, 6, 6)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (6, 6, 6)}",105,0.33333333333333337,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333332,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.0018254923775515785,0.00013122984829345562,8.220907038393927e-17,4.965068306494546e-17
0.015852975845336913,0.000628662109375,0.32667298441203674,0.3320411615635193,relu,10.0,"(24, 24, 24)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (24, 24, 24)}",195,0.3148148148148148,0.3364413364413364,0.2975589225589226,0.340973840973841,0.31734006734006737,0.3302684969351636,0.32954545454545436,0.3289059630523046,0.37483136366089265,0.3236161704149509,0.004476307158844457,3.466064982828335e-05,0.026021114476270216,0.006051554938125575
0.016393518447875975,0.0007186412811279296,0.383975162025845,0.40073019859990905,relu,3.16227766017,"(12,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (12,)}",46,0.39220216347875925,0.41511893124796356,0.40386130811662735,0.4118494010967129,0.35895300522960105,0.38071784845978396,0.3844337434355805,0.39365427600721725,0.38037788617428386,0.4023105361878676,0.0038955728428930717,0.000153654320701935,0.014883294994110804,0.012519845022545327
0.008784151077270508,0.0007224559783935546,0.32245258342547567,0.32183505901880355,relu,3.16227766017,"(6,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (6,)}",207,0.32124435847840105,0.32092638544251445,0.3288201160541586,0.32155439144686454,0.30327208252740173,0.3272523971448703,0.3471673254281948,0.3153556682968448,0.31184407796101954,0.32408645276292336,0.0012981038823065348,0.00017275971467973892,0.015041195310586996,0.003932004380597447
